"lang"
{
"Language""english"
"Tokens"
{
//Neccessities
"CaptionMod_GameSaved"	"Game Saved..."
"realbadwound"	"Well, sir, I hate to say it, but you're in bad shape."
"rightway"	"You sure we're going the right way?"
"seeya"	"See you later."
"slowingyoudown"	"Okay, I'll secure this area."
"somethingdied"	"Phew, something died down here!"
"somethingmoves"	"Did you see something move?"
"somethingstinky"	"What is that smell?"
"soundsbad"	"Man, that sounded bad."
"soundsright"	"Sounds right."
"standback"	"Stand back!"
"standguard"	"I'll stay here and guard this area."
"stench"	"Ew, what's that stench?"
"stop1"	"This is as far as I go."
"stop2"	"I'm gonna stay here and keep a lookout for anyone that needs help."
"stophere"	"I don't know if we should go any further. This doesn't look right."
"survive"	"I'll be happy to survive this with all my parts."
"targetpractice"	"Yep, all that target range time is gonna pay off today."
"teamup1"	"Yeah, we might stand a better chance if we team up."
"teamup2"	"Okay, I'll cover you."
"thinking"	"Are you thinking what I'm thinking?"
"waitin"	"I'm waiting right here for you."
"wayout"	"You think this is the right way out?"
"whatgood"	"I don't know what good we could do here."
"whatisthat"	"What the hell is this?"
"whatsgoingon"	"You have any idea what's going on?"
"workingonstuff"	"Did you have any idea they were working on this kind of stuff?"
"yessir"	"Yes, sir."
"youbet"	"You bet."
"youeverseen"	"You ever seen anything like this?"
"yougotit"	"You got it."
"youhearthat"	"Hey, did you hear something?"
"youneedmedic"	"Sir, that injury may need some attention soon."
"youtalkmuch"	"You talk too much."
"yup"	"Yup."

//Scientist Common
"absolutely"	"Absolutely."
"absolutelynot"	"Absolutely not."
"administrator"	"I suspected this could happen but the Administrator just would not listen."
"afellowsci"	"A fellow scientist."
"ahfreeman"	"Ah, Freeman."
"alienappeal"	"Do you think we should appeal to the alien authorities?"
"alientrick"	"Do you suspect some alien subterfuge behind this failure?"
"allnominal"	"Yes, this all looks nominal."
"alright"	"Alright."
"analysis"	"I am rather looking forward to this analysis, aren't you?"
"announcer"	"Did you understand that last announcement?"
"areyouthink"	"Are you thinking what I'm thinking?"
"asexpected"	"As I expected."
"beenaburden"	"Have I been that much of a burden?"
"beverage"	"Have you been able to get the beverage machine to work yet?"
"bloodsample"	"Wouldn't you like to get one of these blood samples under a microscope?"
"cantbeserious"	"You can't be serious."
"cantbeworse"	"It can't get any worse than this."
"canttakemore"	"I can't take much more of this."
"cascade"	"Aren't you a bit worried about that exponential cascade scenario we discussed?"
"catchone"	"Shouldn't we try to capture a specimen?"
"chaostheory"	"Do you still say there's nothing to chaos theory?"
"checkatten"	"Are you sure you checked the Eigen attenuators?"
"completelywrong"	"You are completely wrong."
"containfail"	"It appears the containment system has completely failed."
"correcttheory"	"Are you one hundred percent sure that theory of yours is correct?"
"delayagain"	"Do you think we should delay for another recalibration?"
"didyouhear"	"Did you hear that?"
"dinner"	"Are you seriously suggesting that all of these beings are here to dine on us?"
"dontconcur"	"I don't concur."
"dontgothere"	"No, don't go that way!"
"dontknow"	"I really don't know."
"dontwantdie"	"No, I don't want to die!"
"donuteater"	"Do you know who ate all the donuts?"
"doyousmell"	"Do you smell what I smell?"
"evergetout"	"Will we ever make it out of here?"
"everseen"	"Have you ever seen anything like this?"
"excellentteam"	"With my brains and your brawn we'll make an excellent team."
"excuse"	"Excuse me, Gordon."
"fascinating"	"Don't you find this all rather fascinating?"
"fellowscientist"	"Glad to oblige a fellow scientist."
"fine"	"Fine. You won't even know I'm here."
"freeman"	"Freeman."
"freemanalive"	"Freeman! Who would have thought you'd still be alive?"
"fusionshunt"	"I certainly hope those backup fusion shunts are in good shape today."
"getoutalive"	"I just want to get out of this alive."
"getoutofhere"	"I've got to get out of here!"
"goodpaper"	"I believe this will make for a notable paper, don't you?"
"goodtoseeyou"	"Ah, it's good to see you."
"gottogetout"	"I've got to get out of here!"
"greetings"	"Greetings!"
"greetings2"	"Greetings."
"headcrab"	"These crab creatures have a unique parasitic strategy, don't you think?"
"heal1"	"Let me take care of that wound for you."
"heal2"	"This should make you feel better."
"heal3"	"Allow me to treat that injury."
"heal4"	"I can give you something for the pain."
"heal5"	"Don't worry, I am a doctor."
"scientisthearsomething"	"Did you hear something?" //tag
"scientisthello"	"Hello." //Added scientist tag
"scientisthello2"	"Hello." //Added scientist tag
"hellofreeman"	"Ah, hello, Gordon Freeman. It's good to see you."
"hellofromlab"	"You are from the Anomalous Materials Lab. Yes, I recognize you."
"hellothere"	"Hello there."
"hideglasses"	"Someone has hidden my glasses again."
"holdstill"	"Hold still, this won't hurt a bit."
"hopenominal"	"I hope those containment parameters are still nominal."
"hopeyouknow"	"I certainly hope you know what you're doing."
"howinteresting"	"How interesting, just look at that."
"hungryyet"	"Is anyone else getting hungry?"
"ibelieveso"	"I believe so."
"idontthinkso"	"I don't think so."
"ihearsomething"	"I hear something."
"scientistillwait"	"I'll wait." //tag
"illwaithere"	"I'll wait right here."
"importantspecies"	"Another important species revealed in action."
"improbable"	"A failure of this magnitude is extremely improbable."
"imsure"	"I'm sure of it."
"inconclusive"	"It's inconclusive."
"inmesstoo"	"Ah, Freeman. I see you are in this mess too."
"ipredictedthis"	"I predicted all of this, you know. All of it!"
"istay"	"I'll stay here."
"iwounded"	"I seem to be wounded... but I can keep going."
"iwounded2"	"Well, I seem to be seriously wounded."
"iwoundedbad"	"I don't think I can last much longer."
"justasked"	"Didn't you just ask me that?"
"lambdalab"	"I hope those people in the Lambda Lab can get this under control."
"leadtheway"	"Lead the way."
"leavingme"	"What? You're leaving me here?"
"letmehelp"	"Let me help you."
"scientistletsgo"	"Let's go." //Added scientist tag
"letstrythis"	"Let's try this."
"letyouin"	"Wait a minute and I'll let you in."
"limitsok"	"This is all within theoretical limits."
"lowervoice"	"Kindly lower your voice."
"luckwillchange"	"It's highly probable that our luck will change, don't you agree?"
"madness"	"This is madness! I'm getting out of here!"
"needsleep"	"I'd give my right hemisphere for a few hours of sleep."
"neverseen"	"Fascinating. I never suspected such things could be."
"newhevsuit"	"Ah, you have one of the new HEV suits. That should be very useful."
"newsample"	"Any ideas on the origin of that new sample?"
"nodoubt"	"I have no doubt."
"nogrant"	"Well, there goes our grant money."
"noguess"	"I couldn't even venture a guess."
"noidea"	"You have no idea what is going on, do you?"
"noo"	"No."
"nooo"	"No!"
"noplease"	"No! Please!"
"notcertain"	"I'm not certain."
"nothostile"	"The alien species can't possibly all be hostile, can they?"
"notsure"	"I am not at all sure."
"odorfromyou"	"I hope that odor isn't coming from you."
"ofcourse"	"Of course!"
"ofcoursenot"	"Of course not!"
"okgetout"	"Okay, let's get out of here."
"okihope"	"Okay, I hope you know what you're doing."
"organicmatter"	"Well, the dimensional breach is definitely transmitting organic matter."
"peculiarmarks"	"Why just look at those peculiar markings."
"peculiarodor"	"Hm, what a peculiar odor."
"perfectday"	"This analysis is going to run perfectly today, don't you think?"
"perhaps"	"Perhaps."
"positively"	"Positively."
"purereadings"	"Wouldn't it be fantastic to get some pure readings for a change?"
"recalculate"	"Don't you think we should recalculate those resonance dampening factors again?"
"reconsider"	"I don't suppose you'd reconsider?"
"repeat"	"You know, you repeat yourself sometimes."
"reportflux"	"I must remember to report that fluctuation."
"rescueus"	"Surely someone will come and rescue us."
"ridiculous"	"Don't be ridiculous!"
"right"	"Right!"
"rightwayout"	"Are you sure this is the right way?"
"rumorclean"	"The military cleanup is just a paranoid rumor, isn't it?"
"runtest"	"I wonder if I should run that test again."
"sci_aftertest"	"You'll just have to wait until after the test."
"sci_alone"	"Please, leave me alone until after the experiment."
"sci_bother"	"I can't be bothered right now."
"sci_busy"	"Excuse me, Gordon, but I'm rather busy now."
"sci_fear6"	"Oh no!"
"sci_fear7"	"Oh dear!"
"sci_fear11"	"Oh my!"
"sci_fear12"	"My goodness!"
"sci_fear13"	"No!"
"sci_fear14"	"Get back!"
"sci_pain3"	"No!"
"sci_pain6"	"No!"
"sci_pain7"	"No!"
"sci_pain8"	"No!"
"sci_pain9"	"Stop!"
"sci_pain10"	"No!"
"sci_somewhere"	"Weren't you supposed to be in the test chamber half an hour ago?"
"scream10"	"No!"
"scream11"	"Stop!"
"scream12"	"Stop!"
"scream13"	"No!"
"seencup"	"Have you seen my coffee cup?"
"shakeunification"	"This should shake up those grand unification boys, hm?"
"shutdownchart"	"Now where did I leave that shutdown procedure chart?"
"shutup"	"Shut up."
"shutup2"	"Shut up."
"simulation"	"Most of the simulation results are perfectly acceptable, you know."
"slowingyou"	"I'm slowing you down, am I?"
"smellburn"	"Do you smell something burning?"
"softethics"	"You aren't going soft on that ethics issue again, are you?"
"sorryimleaving"	"Sorry, I'm leaving now."
"somethingfoul"	"I believe something smells quite foul here."
"startle5"	"Oh no."
"startle6"	"Oh no."
"startle7"	"Oh no."
"startle8"	"Oh no."
"startle9"	"Oh no."
"statusreport"	"Did you submit your status report to the Administrator today?"
"scientiststench"	"What is that stench?" //changed
"stimulating"	"I think it's rather stimulating, don't you?"
"scientiststop1"	"This is as far as I go." //changed
"scientiststop2"	"I refuse to go another step." //changed
"scientiststop3"	"You're going to have to leave me here, Gordon." //changed
"scientiststop4"	"I'm going to stay here and wait for my colleagues." //changed
"stopasking"	"Stop asking that question."
"stopattacking"	"Stop attacking, he's a friend!"
"survival"	"Do you recall any of those emergency survival procedures?"
"thatsodd"	"That's odd."
"theoretically"	"Theoretically."
"thiswillhelp"	"This should help."
"tunedtoday"	"All displacement modulators were tuned today, weren't they?"
"tunnelcalc"	"Are you running those tunneling lattice calculations again?"
"uselessphd"	"Fat lot of good that Ph.D. does me now, hm?"
"weartie"	"Why do we all have to wear these ridiculous ties?"
"whatnext"	"Well, do you have any idea what to do next?"
"whatyoudoing"	"My God, what are you doing?"
"whocansay"	"Who can say?"
"whoresponsible"	"Who is responsible for this mess?"
"whyaskme"	"Why are you asking me?"
"whyleave"	"Why are you leaving me here?"
"yees"	"Yes."
"yes"	"Yes."
"yes2"	"Yes."
"yes3"	"Yes."
"yesletsgo"	"Yes, let's go."
"youinsane"	"Are you insane? Stop attacking, immediately!"
"youlookbad"	"You look terrible."
"youlookbad2"	"You look terrible."
"scientistyouneedmedic"	"It appears that you need medical attention right away." //changed
"youwounded"	"Ah, you've been wounded."

//VOX
"VOX_ELEV1"	"Warning. Main power failure in Levels 3, 5 and 8."
"VOX_ELEV2"	"Warning. Extreme electromagnetic field hazard in Sector C."
"NA0"	"Access denied."
"NA1"	"Access granted."

//Rosenberg
"ro_calhoun"	"Calhoun!"
"ro_cure0"	"You look terrible."
"ro_cure1"	"You seem to be wounded."
"ro_cure2"	"You're going to need medical attention, right away."
"ro_fear1"	"Oh my."
"ro_heal0"	"Let me take care of that wound for you."
"ro_heal1"	"This should make you feel better."
"ro_heal2"	"You need medical attention. Here."
"ro_heal3"	"Let me give you something for the pain."
"ro_heal4"	"Allow me to treat that injury."
"ro_inside_car"	"Hello! I'm in here! Can anyone hear me?"
"ro_letstrythis"	"Let's try this."
"ro_mortal0"	"I'm not sure how much longer I can last."
"ro_mortal1"	"I don't think I can last much longer."
"ro_ok0"	"Let's get going."
"ro_ok1"	"I'll be right behind you."
"ro_ok2"	"Let's hurry. There is no time to waste."
"ro_ok3"	"All right. Let's hope we don't run into anymore of those soldiers."
"ro_ok4"	"All right. Let's stick together."
"ro_ok5"	"All right. You won't even know I'm here."
"ro_ok6"	"Yes. We'll have a better chance if we stick together."
"ro_ok7"	"Lead the way, Calhoun."
"ro_ok8"	"Let's go."
"ro_ok9"	"Yes. Let's go."
"ro_outro1"	"Ah there he is! Calhoun, you've arrived! When you didn't come through right away we thought of the... Oh no, there is something wrong here. Simmons! Come look at Calhoun! His body seems to be in some sort of resonance displacement and I..."
"ro_outro2"	"Oh thank God, you've made it. I was worried that a malfunction occurred at the last moment and you might have been caught in an infinite harmonic reflux. If that's the case, then you're lucky to be standing here. Then again, we're all lucky. Thanks to you, however, we were actually able to pull of this half-brained idea. We made it, Mr. Calhoun. We made it."
"ro_plfear0"	"What are you doing?"
"ro_plfear1"	"I can't take this anymore."
"ro_plfear2"	"This is madness!"
"ro_plfear3"	"No, please! I don't want to die!"
"ro_plfear4"	"Get out of here!"
"ro_scared0"	"My God! What are you doing?"
"ro_scared1"	"Stop attacking! Immediately!"
"ro_scared2"	"Are you insane? He's a friend!"
"ro_stop0"	"Wait up, Calhoun. I'm afraid I need to rest."
"ro_stop1"	"Hold on, Calhoun. I need to take a break."
"ro_stop2"	"I need to rest a bit before I could go on."
"ro_stop3"	"Slow down, Calhoun. I can't keep up at this pace."
"ro_stop4"	"Hold on, Calhoun. You'll have to slow down a bit."
"ro_tele_almost1"	"We're almost there."
"ro_tele_almost2"	"We're almost there."
"ro_tele_final01"	"Calhoun, you did it! We've already begun preparing the device with the fresh power cell you sent up. This time, however, the process is going to bit more complex. So I'll need you to help me in the main room. Let's hurry, there is no time to waste."
"ro_tele_final02"	"All right. I'll stay down here to monitor the system levels, and direct the procedure. I need you to climb up to the control room, and activate the main power. Once the process has started, you'll also need to release the dampen locks each time the system has charged in order to open the displacement field. Don't worry, Mr. Calhoun, the process is simple, and I'll let you know when you need to do something."
"ro_tele_final03"	"What are you waiting for, Calhoun? Get up to the control room, and locate the main power switch."
"ro_tele_final04"	"Please hurry, Mr. Calhoun! We don't have much time!"
"ro_tele_final05"	"Very good. Stand by, Calhoun. Once the system initialized, it will take few moments for the interpolating resonance coils to archive focus."
"ro_tele_final06"	"Everything is looking nom... Oh no, the primary cooling line has been raptured. Calhoun, go to the valve located on the catwalk, and release the pressure! Hurry, before the system overheats!"
"ro_tele_final07"	"This is no time for games, Calhoun! If the secondary cooling pipe bursts the machine will explode. You must crank the valve on the catwalk now!"
"ro_tele_final08"	"Good. Now, keep turning the crank, until the pressure level reaches normal."
"ro_tele_final09"	"Don't let the pressure reach critical, Calhoun! You must continue cranking until the level reaches nominal!"
"ro_tele_final10"	"Good work, Calhoun. That was close. The system has been stabilized, and main capacitors are charging. When main charger meter reaches full, I'll need you to open the displacement field from the control room."
"ro_tele_final11"	"Simmons, can you hear me? Get the rest of the team together, and prepare to teleport. Remember, we can only send one person at a time, so be patient."
"ro_tele_final12"	"Wait for it, Calhoun! You can't open the displacement field until the charger reaches its maximum."
"ro_tele_final13"	"I told you to wait until the system is fully charged! Be patient, Calhoun!"
"ro_tele_final14"	"Okay, the system is fully charged. Throw the switch located at the window of the control room!"
"ro_tele_final15"	"Go ahead, Calhoun. Throw the displacement field switch. What are you waiting for?"
"ro_tele_final16"	"Calhoun, our time is running out! Go to the window of the control room, and throw the switch."
"ro_tele_final17"	"It's too late, the system is collapsing! You've killed us all, Calhoun!"
"ro_tele_final18"	"Very good, Calhoun. I'll begin charging the system for the next teleport event."
"ro_tele_final19"	"Almost there. All right, we've reached full charge again. Open the field, Calhoun!"
"ro_tele_final20"	"Excellent. The next jump can go through now."
"ro_tele_final21"	"Let's keep going. The main capacitors are charging."
"ro_tele_final22"	"Okay, it's ready. Throw the switch again!"
"ro_tele_final23"	"You must go now, Simmons!"
"ro_tele_final24"	"Oh no!	"
"ro_tele_final25"	"I'm going to go through next, but don't worry, Mr. Calhoun. I've set the system to automatically start the charging sequence once I've made it through. Just wait for the levels to reach full again, and open the field like you've been doing."
"ro_tele_final26"	"All right, it's ready."
"ro_tele_final27"	"Good luck, Mr. Calhoun. I'll see you on other side!"
"ro_tele_final28"	"There, the field is open. Go now, Walter!"
"ro_tele_nocell"	"I'm glad to see you're all right, Mr. Calhoun, but we really need another power cell if we expect to get out of here. You'll have to go back down there, find a power cell, and send it back up to us fully charged. We're all depending on you."
"ro_tele_power1"	"Good job, Mr. Calhoun. We begin to worry when you didn't come back for some time, but it looks though you were able to get the device operational. The signal we're getting is very strong, but I'm afraid I have some bad news. The power reservoirs were just enough to open a field for your trip to the borderworld. If we plan on keeping the teleporter open long enough to calculate a safe exit point, and allow time for everyone to go through, someone will have to go to the lower level, and retrieve another power cell."
"ro_tele_power2"	"A few of our colleagues went down there while ago, but we haven't heard them from since. I can only fear for the worst."
"ro_tele_power3"	"I hate to keep putting you in this position, but you must realize that if someone doesn't go down there, then no one us will get out of here alive. Besides, you're the best equipped to deal with any dangers that may be waiting. Here, I'll show you to the access elevator that leads to the power generator. Follow me."
"ro_tele_power4"	"Calhoun! Where are you? We need you to go down below, and find us another power cell!"
"ro_tele_power5"	"Ah, here we are. Down below, the old power generators that we used to service this lab. You should find what we're looking for down there. Once you locate a new power cell, make sure it's charged, and send it up to the freight lift. Good luck."
"ro_tele_xen01"	"Excellent, Walter. Finish aligning the power cell matrix, and I'll see if I can get the system online in the main room. Now, there's no time to waste."
"ro_tele_xen02"	"Well, looks like the equipment is in better shape than expected."
"ro_tele_xen03a"	"Unfortunately, this older technology does not have the ability to target an Earth destination in its current state. You see, Mr. Calhoun, teleportation isn't as easy as going from point A to point B. We've discovered a strange borderworld that was somehow involved in the process which kept us from accurately predicting where any given teleportation event would lead to back on Earth."
"ro_tele_xen03b"	"Some of the more promising research on the matter led to a device that could be attached to strange crystalline structures we found on this borderworld. Now, this device, could then be used as a focal point and relay to aid in the teleportation. Well, in theory that is."
"ro_tele_xen04"	"We lost contact with the survey group shortly after the device was in place. We later discovered other methods of aiming the field, but all the equipment in this lab uses the older technology. In order for any of us to get out of here alive, someone will have to go to the borderworld, and activate the device."
"ro_tele_xen05"	"I'm afraid you're the only one who can do this. Seeing as how everyone else will be needed to operate the equipment."
"ro_tele_xen06"	"We should be able to get you fairly close to where the survey team had setup, but I fear the likelihood of running into alien creatures is very high. Once you find the device, simply power it on, and line the emitters until the signal reaches maximum strength. We'll reopen the teleport for your return, once we receive the signal, but you must hurry back. As we can keep it open for a short amount of time."
"ro_tele_xen07"	"All right. I'm going to initiate the teleporting charging sequence now. Be ready Mr. Calhoun. Once the field is open, it will become unstable very quickly."
"ro_tele_xen08"	"The primary capacitors have reached fully charge. Simmons! Release the dampen locks, and open the field."
"ro_tele_xen09"	"The field, it's open! Calhoun, enter to the teleporter!"
