LC_Language	Dil
LC_WinScreen_ExpertBadge	Mükemmel!
LC_WinScreen_ExitLevel	Paydos et
LC_WinScreen_NextLevel	Sonraki Seviye
LC_Network_SignIn	Giriş Yap
LC_Message_BuildLimitReached	Maksimum inşaat bileşeni sayısına ulaştın!
LC_Message_NoInternetConnection	İnternet bağlantısı yok. Lütfen bağlantınızı kontrol edin.
LC_Score_Rate_Button	Oyla
LC_Score_Rate_Text	Bridge Constructor Portal'ı beğendin mi? Oylayarak oyunumuzun yayılmasına destek ol!
LC_Rate_Answer_NoThanks	Hayır, teşekkürler.
LC_Rate_Answer_NotNow	Şimdi değil.
LC_Start_Menu_More_Games	Daha çok oyun
LC_Achievement_Unlocked	Yeni Başarı!
LC_Achievements	Başarılar
LC_Crosspromo	Buradan daha fazlasını bulabilirsin:
preparing_filesystem	Portal Tabancası şarj ediliyor ...
cloud_sync_in_progress	Oyun kaydı bulutla eşitleniyor
cloud_change_detected	Dikkat, şu anda bulutta farklı bir oyun kaydı mevcut. Yeni oyun kaydını kullanmak için lütfen oyunu yeniden yükle.
cloud_change_detected_button	Oyunu yeniden yükle
cloud_became_available_with_local_changes	Bulut hizmeti etkinleştirildi. Hangi oyun kayıtlarını saklamak istiyorsun?
cloud_became_available_with_local_changes_local_button	Yerel oyun kayıtları kullan ve bulutun üstüne kaydet
cloud_became_available_with_local_changes_cloud_button	Bulut oyun kayıtları kullan ve yerel kaydın üstüne kaydet
LC_Tut_General_ControllerInfo	Kontrol cihazı eğitimini göstermek için bir kontrol cihazı kullan.
LC_Tut_General_TouchInfo	Dokunmatik kontrol eğitimini göstermek için ekrana dokun.
LC_Tut_General_MouseInfo	Fare ve klavye eğitimini göstermek için imleci oynat.
LC_Tut_General_JoyCon	Kontrol cihazı eğitimini göstermek için Joy-Con kullan.
LC_Tut_GeneralIntro_1	Merhaba, Aperture Science Bilgisayar Destekli Güçlendirme Merkezi'ne tekrar hoş geldin.<t:4.5>
LC_Tut_GeneralIntro_2	Kurumsal hükümler uyarınca başvuru yapan herkesin bu Test Etme Serisi Testleri için hazırlanan Test Serisi'ni tamamlaması gerekiyor.<t:6>
LC_Tut_GeneralIntro_2new	"Kurumsal hükümler uyarınca başvuru yapan herkesin bu Test Etme Serisi Testleri için hazırlanan Test Serisi'ni tamamlaması gerekiyor.<t:6><t:1.5>\nAma başlamadan önce, lütfen ciddi yaralanmalar olabileceğini unutma.<t:4>"
LC_Tut_GeneralIntro_3	Başlamadan önce, lütfen unutma ki, güçlendirme merkezi faaliyetleri her ne kadar eğlenceli ve eğitici olsa da, ciddi yaralanmalar meydana gelebilir.<t:9>
LC_Tut_GeneralIntro_4	Güçlendirme Merkezi, ölümcül bir iş kazası yaşanması durumunda, maaşında hiçbir kesinti yapılmadan ailene haber verileceğini gururla beyan eder.<t:8>
LC_Tut_GeneralIntro_5	İlk görevin, bir test aracının Test Odası'na ulaşabilmesi için bir köprü inşa etmek.<t:5.5>
LC_Tut_RemoveAndBuild_0	İlk olarak, senden önceki çalışanın geriye bıraktığı işe yaramaz şeyleri ortadan kaldırmamız lazım. Hayır onun ailesinden bahsetmiyoruz.<t:6>
LC_Tut_Mob_RemoveAndBuild_2	Bir bileşeni veya bağlantı noktasını kaldırmak için ona iki kez dokun.
LC_Tut_Desk_RemoveAndBuild_2	"Bir bileşeni veya bağlantı noktasını kaldırmak için üzerinde <sprite=\"Buttons_PC\" name=\"PC_MouseLeftDouble\"> yap."
LC_Tut_Xbox_RemoveAndBuild_2	"İmleci <sprite=\"Buttons_XB1\" name=\"XB1_L\"> ile bir bileşenin veya bağlantı noktasının üzerine getir ve silmek için <sprite=\"Buttons_XB1\" name=\"XB1_B\"> düğmesine bas."
LC_Tut_Switch_RemoveAndBuild_2	"İmleci <sprite=\"Buttons_Switch\" name=\"Switch_LS\"> ile bir bileşenin veya bağlantı noktasının üzerine getir ve silmek için <sprite=\"Buttons_Switch\" name=\"Switch_B\"> düğmesine bas."
LC_Tut_PS4_RemoveAndBuild_2	"İmleci <sprite=\"Buttons_PS4\" name=\"PS4_L\"> ile bir bileşenin veya bağlantı noktasının üzerine getir ve silmek için <sprite=\"Buttons_PS4\" name=\"PS4_Circle\"> düğmesine bas."
LC_Tut_RemoveAndBuild_3	Tüm mevcut bileşenleri kaldır.
LC_Tut_RemoveAndBuild_4	Mükemmel! Sorgulamadan yok etme yeteneğin oldukça etkileyici.<t:4>
LC_Tut_RemoveAndBuild_5	Şimdi bu Aperture Science Değiştirilebilir İskele Kalasları'nı kullanarak yeni bir inşaatı değiştireceğiz.<t:5>
LC_Tut_RemoveAndBuild_6	Bu özel Aperture Science İnşaat Bağlantı Noktaları ile başlayarak Değiştirilebilir İskele Kalasları'nı birbirine bağla.<t:6>
LC_Tut_RemoveAndBuild_7	Köprü için bir iskele inşa etmek için kılavuz çizgileri takip et.
LC_Tut_Mob_RemoveAndBuild_8	Turuncu bir ankordan başla, inşaat bileşenlerini parmağınla çek. Bir bileşeni kaldırmak için Geri Al düğmesini kullan veya onun üzerine iki kez dokun.
LC_Tut_Desk_RemoveAndBuild_8	"İnşa etmeye başlamak için bir inşaat noktası üzerinde<sprite=\"Buttons_PC\" name=\"PC_MouseLeft\"> düğmesine bas. Yeni bir bileşeni yerleştirmek için imleci istediğin yere götür ve tekrar <sprite=\"Buttons_PC\" name=\"PC_MouseLeft\"> düğmesine bas.\n<sprite=\"Buttons_PC\" name=\"PC_MouseRight\">, mevcut inşa çalışmasını iptal eder."
LC_Tut_Xbox_RemoveAndBuild_8	"İnşa etmeye başlamak için bir inşaat noktası üzerinde<sprite=\"Buttons_XB1\" name=\"XB1_A\"> düğmesine bas. Yeni bir bileşeni yerleştirmek için imleci <sprite=\"Buttons_XB1\" name=\"XB1_L\"> ile istediğin yere götür ve tekrar <sprite=\"Buttons_XB1\" name=\"XB1_A\"> düğmesine bas.\n<sprite=\"Buttons_XB1\" name=\"XB1_B\">, mevcut inşa çalışmasını iptal eder."
LC_Tut_Switch_RemoveAndBuild_8	"İnşa etmeye başlamak için bir inşaat noktası üzerinde<sprite=\"Buttons_Switch\" name=\"Switch_A\"> düğmesine bas. Yeni bir bileşeni yerleştirmek için imleci <sprite=\"Buttons_Switch\" name=\"Switch_LS\"> ile istediğin yere götür ve tekrar <sprite=\"Buttons_Switch\" name=\"Switch_A\"> düğmesine bas.\n<sprite=\"Buttons_Switch\" name=\"Switch_B\">, mevcut inşa çalışmasını iptal eder."
LC_Tut_PS4_RemoveAndBuild_8	"İnşa etmeye başlamak için bir inşaat noktası üzerinde<sprite=\"Buttons_PS4\" name=\"PS4_Cross\"> düğmesine bas. Yeni bir bileşeni yerleştirmek için imleci <sprite=\"Buttons_PS4\" name=\"PS4_L\"> ile istediğin yere götür ve tekrar <sprite=\"Buttons_PS4\" name=\"PS4_Cross\"> düğmesine bas.\n<sprite=\"Buttons_PS4\" name=\"PS4_Circle\">, mevcut inşa çalışmasını iptal eder."
LC_Tut_RemoveAndBuild_9	Test aracının gidebilmesi için köprüye hala bir yol yapmak gerekiyor.<t:3><t:1> Neyse ki, her Aperture Science Değiştirilebilir İskele Kalası bir yola ve ardından tekrar bir kalasa dönüştürülebilir.<t:7>
LC_Tut_RemoveAndBuild_10	Üstteki yatay bileşeni bir yola dönüştür.
LC_Tut_Mob_RemoveAndBuild_11	İnşa ettiğin herhangi bir bileşeni yola ve ardından geri dönüştürmek için ona dokunman yeterli.
LC_Tut_Desk_RemoveAndBuild_11	"Bir bileşeni iskeleden yola dönüştürmek için onun üzerinde<sprite=\"Buttons_PC\" name=\"PC_MouseLeft\"> düğmesine bas."
LC_Tut_Xbox_RemoveAndBuild_11	"İnşa ettiğin herhangi bir bileşeni bir yola dönüştürme veya tam tersi işlemi <sprite=\"Buttons_XB1\" name=\"XB1_A\"> düğmesi ile yapabilirsin."
LC_Tut_Switch_RemoveAndBuild_11	"İnşa ettiğin herhangi bir bileşeni bir yola dönüştürme veya tam tersi işlemi <sprite=\"Buttons_Switch\" name=\"Switch_A\"> düğmesi ile yapabilirsin."
LC_Tut_PS4_RemoveAndBuild_11	"İnşa ettiğin herhangi bir bileşeni bir yola dönüştürme veya tam tersi işlemi <sprite=\"Buttons_PS4\" name=\"PS4_Cross\"> düğmesi ile yapabilirsin."
LC_Tut_RemoveAndBuild_12	"Çok iyi.<t:1><t:0.5>\nTest etmek için bir test aracını köprü üzerinden geçir.<t:1.5>"
LC_Tut_RemoveAndBuild_12a	"Çok iyi.<t:1><t:0.5>\nKöprünü test etmek için simülasyonu başlat.<t:1.5>"
LC_Tut_RemoveAndBuild_12b	Son derece sabit görünüyor. Artık bir test aracı gönderebilirsin.<t:3>
LC_Tut_Xbox_RemoveAndBuild_13	"Malzemeler kontrol cihazı üzerindeki <sprite=\"Buttons_XB1\" name=\"XB1_DPad_Up\"> ve <sprite=\"Buttons_XB1\" name=\"XB1_DPad_Down\"> ile seçilebilir."
LC_Tut_PS4_RemoveAndBuild_13	"Malzemeler kontrol cihazı üzerindeki <sprite=\"Buttons_PS4\" name=\"PS4_DPad_Up\"> ve <sprite=\"Buttons_PS4\" name=\"PS4_DPad_Down\"> ile seçilebilir."
LC_Tut_Switch_RemoveAndBuild_13	"Malzemeler sol Joy-Con üzerindeki <sprite=\"Buttons_Switch\" name=\"Switch_DPad_Up\"> ve <sprite=\"Buttons_Switch\" name=\"Switch_DPad_Down\"> ile seçilebilir."
LC_Tut_Xbox_RemoveAndBuild_14	"Bir aracı çalıştırmak için <sprite=\"Buttons_XB1\" name=\"XB1_DPad_Left\"> düğmesini kullan."
LC_Tut_PS4_RemoveAndBuild_14	"Bir aracı çalıştırmak için <sprite=\"Buttons_PS4\" name=\"PS4_DPad_Left\"> düğmesini kullan."
LC_Tut_Switch_RemoveAndBuild_14	"Bir aracı çalıştırmak için <sprite=\"Buttons_Switch\" name=\"Switch_DPad_Left\"> düğmesini kullan."
LC_Tut_ChangeRamps_00	2. Test Odası'na hoş geldin.<t:1.5><t:1>
LC_Tut_ChangeRamps_0	Başarısız olman halinde personel fotoğrafın, araç sürücüsü Ölüm Sebebi formuna eklenecek.<t:6>
LC_Tut_ChangeRamps_1	Engelleri aşmak için köprünü çoğu zaman yukarı veya aşağı doğru inşa etmen gerekecek.<t:5>
LC_Tut_ChangeRamps_2	Bu yol yukarı çıkıyor, ama araçlar için uygun değil. Ancak, bu bileşenleri yok etmek yerine onların yerlerini değiştireceğiz.<t:10>
LC_Tut_ChangeRamps_3	Mevcut yolu noktalı çizgiye taşı.
LC_Tut_Mob_ChangeRamps_4	Taşıma modu devreye girene kadar parmağını sarı bir eklem yeri üzerinde tut. Sonra eklem yerini yeni bir noktaya sürükle.
LC_Tut_Desk_ChangeRamps_4	"Taşıma modu devreye girene kadar <sprite=\"Buttons_PC\" name=\"PC_MouseLeft\"> tuşunu sarı bir eklem yeri üzerinde tut. Sonra eklem yerini yeni bir noktaya sürükle."
LC_Tut_Xbox_ChangeRamps_4	"Taşıma modu devreye girene kadar <sprite=\"Buttons_XB1\" name=\"XB1_X\"> düğmesini sarı bir eklem yeri üzerinde tut. Sonra eklem yerini yeni bir noktaya sürükle."
LC_Tut_Switch_ChangeRamps_4	"Taşıma modu devreye girene kadar <sprite=\"Buttons_Switch\" name=\"Switch_X\"> düğmesini sarı bir eklem yeri üzerinde tut. Sonra eklem yerini yeni bir noktaya sürükle."
LC_Tut_PS4_ChangeRamps_4	"Taşıma modu devreye girene kadar <sprite=\"Buttons_PS4\" name=\"PS4_Quad\"> düğmesini sarı bir eklem yeri üzerinde tut. Sonra eklem yerini yeni bir noktaya sürükle."
LC_Tut_ChangeRamps_5	Çok iyi.<t:1><t:0.2> Şimdi alta destekleri inşa et.<t:1>
LC_Tut_ChangeRamps_6	Mükemmel. İlk köprü hazır. Şimdi de engeli aşıp çıkışa ulaştıracak bir araç rampası inşa edeceğiz.<t:7>
LC_Tut_ChangeRamps_6a	Rampa için kalasları çizgilerle gösterildiği gibi inşa et.
LC_Tut_ChangeRamps_7	Şimdi, test aracının üzerinden geçmesi için kalas bileşenlerini bir yola dönüştür.
LC_Tut_MenuButton	Kısa bir ara: Lütfen bu menüde faydalı ek özellikler olduğunu unutma.
LC_Tut_MenuButtonAlt	Özür dileriz, önemli bir mesaj için bölüyoruz: Bu menü faydalı ek özellikler içeriyor.
LC_Tut_MenuButtonAlt2	Özür dileriz, önemsiz bir mesaj için bölüyoruz: Bu bir menüdür.
LC_Tut_MenuButtonAlt3	Test çalışmasını bu noktada kısmen önemli bir mesaj için askıya alıyoruz: Bu bir menüdür.
LC_Tut_PortalIntro_1	Lütfen bu Test Odası yerleşim düzenini incele ve aracın hedefe ulaşmasının mümkün olmadığına dikkat et.<t:6>
LC_Tut_PortalIntro_2	Test Odası bu görev için bir Aperture Science Kuantum Tüneli veya daha yaygın olan ismiyle bir portal kullanılarak geliştirilecek.<t:7>
LC_Tut_PortalIntro_3	Portal açılıyor... <t:1.5> üç... <t:0.5><t:0.5>iki... <t:0.5><t:0.5>bir...<t:0.5>
LC_Tut_PortalIntro_4	Portalın bir tarafından giren tüm araçlar anında portalın diğer tarafından aynı hızla çıkarlar.<t:5>
LC_Tut_PortalIntro_5	Kaydettiğin hızlı ilerleme gösterdi ki, uzman sürücülerimiz portalların içinde yol alma işleminin karmaşık fiziksel kurallarıyla uğraşırken en basit personeller bile bir köprü yapabiliyorlar.<t:10>
LC_Tut_PortalIntro_6	Lütfen unutma: Değerli test cihazlarını korumak için, araç sürücülerinin oda zeminindeki ölümcül sıvıya temas etmelerine izin verilmemektedir.<t:9>
LC_Tut_PortalIntro_7	Başarısız olman halinde personel fotoğrafın, araç sürücüsü Ölüm Sebebi formuna eklenecek.<t:6>
LC_Tut_CableIntro_1	Önce, bileşenleri çizgilere göre inşa ederek ve ardından bunları yola dönüştürerek köprü için bir yol yap.
LC_Tut_CableIntro_2	Yapılan test çalışmasına göre bu sıradaki testte köprüyü alttan destekleyemeyeceğiz. Ama köprüyü Aperture Science Çok Amaçlı Süper Kablolar ile asmak için yukarıdan İnşaat Bağlantı Noktaları kullanabiliriz.<t:14>
LC_Tut_CableIntro_3	Çok Amaçlı Süper Kablolar sıkıca sarılmış duş perdelerinden oluşmaktadırlar ve uzun mesafelere gerilebilirler.<t:6>
LC_Tut_CableIntro_3Alt	Çok Amaçlı Süper Kablolar birbirlerine sıkıca sarılmış, geri dönüştürülmüş duş perdelerinden oluşmaktadırlar. Uzun mesafelere gerilebilirler.<t:8>
LC_Tut_CableIntro_4	Malzeme olarak Çok Amaçlı Süper Kablo seç ve yolu askı noktalarına bağla.
LC_Tut_CableIntro_5	"Mükemmel. Şimdi aracı portaldan geçir.<t:3><t:1> \nEndişelenme. Bu boyut içi kapıların koruyucu personel için tamamen güvenli oldukları kanıtlanmıştır.<t:5>"
LC_Tut_Budget	Her odanın toplam maliyeti gerçek zamanlı olarak hesaplanır ve keyfi istatistik analizi için kaydedilir.
LC_Tut_Undo	Geri Al düğmesi ile son inşaat işlemini geri alabilirsin.
LC_Tut_SeveralPortals_0	Aynı anda birden fazla portal çifti bulunabilir.<t:3>
LC_Tut_SeveralPortals_1	Bunlardan biri ölümcül bir Lazer Sahası'na çıkmaktadır. Temastan kaçınılması için kırmızı renge sahiptir.<t:6>
LC_Tut_SeveralPortals_2	Yüksek bir kalp atış hızı ve galvanik deri tepkisi algılıyorum. Sanıyorum ki, hangi portalın araçları ölümcül bir çıkmaza sürükleyeceğini anlayamadığın için yaşıyorsun bunu.<t:10>
LC_Tut_SeveralPortals_3	Görüş yeteneği eksikliğini telafi etmek için portalın spektral ışınımını değiştireceğiz.<t:6>
LC_Tut_SeveralPortals_4	Bundan sonra, birbirine bağlı portallar daima aynı renge sahip olacaklar.<t:4>
LC_Tut_Arcs_1	Bu Test Odası'nın sadece yolun başında ve sonunda İnşaat Bağlantı Noktaları bulunuyor.<t:4>
LC_Tut_Arcs_2	Böyle durumlarda, bir üçgen şeklinde yerleştirilmiş kemer iskeleler ile köprülerin kendi kendilerini desteklemeleri gerekir.<t:6>
LC_Tut_Arcs_3	Yapısal referans oluşturması için iki köprü verdik. Kalan boşlukları birbirlerine bağlamak için bu tasarımı kopyalamak çok zor olmayacaktır.<t:8>
LC_Tut_Crossing_1	"Birden fazla portal bulunduğunda araç yolları kesişebilir.<t:3><t:1> \nAma lütfen panik yapma, çünkü bu, sürücülerin dikkatini dağıtabilir.<t:3>"
LC_Tut_Crossing_2	Zengin aday yeteneklerini telafi etmek için Güçlendirme Merkezi'nin tüm adaylara, özellikle de sana, faydalı tavsiyeler vermesi gerekmektedir.<t:9>
LC_Tut_Crossing_3	Bu Test Odası için belirlenen tavsiye şudur: <t:3><t:0.5>[wwwwbzzzlllzzzzzt]<t:1><t:0.1>...in çıkabilmesi için bir <t:0.3><t:0.1>[bzzwllzzzsrrllwwwwt]<t:1><t:0.1> inşa et. Çok basit.<t:0.5>
LC_Tut_ButtonIntro_1	Lütfen çıkıştan önceki kapalı kapıya dikkat et.<t:1.5>
LC_Tut_ButtonIntro_2	Çıkıştan önceki kapıyı açmak için en az bir aracın Aperture Science Tek Tuşlu Süper Düğme'ye basması gerekir.<t:6>
LC_Tut_FlingSpeed_1	"Araçların bir portaldan geçerken aynı hızla ilerleyeceklerini unutma.<t:4><t:0.5> \nGördüğün gibi, ortadaki duvarı aşabilmesi için epey süratli olması gerekecek.<t:5>"
LC_Tut_TriangleSuppport_1	Güçlendirme Merkezi, test kaydında bir artı işareti olabilmesi için tüm aracın çıkışa ulaşması gerektiğini hatırlatmak ister.<t:7>
LC_Tut_TriangleSuppport_2	Diğer kritik test etme bilgileri için lütfen artık senin kullanımına sunulan ve geçerliliği başlayan 'En İyi Uygulamalar Kitaplığı'na bak.<t:8>
LC_Tut_VertDropAndSpit_1	Lütfen bu Test Odası çıkışının tepeye çok yakın olduğunu unutma.<t:4>
LC_Tut_VertDropAndSpit_2	Araç sürücülerinin bu testi senin adına tamamlayabilmeleri için hıza ve kesişen yollara ihtiyaçları olacak.<t:4>
LC_Tut_VertDropAndSpit_3	Sana güveniyoruz aday 9723.<t:3><t:0.5> Eğer aday 9723 sen değilsen, lütfen testten 274 gün önce bir Aralıklı Cesaretlendirme Talebi Formu gönder.<t:7.5>
LC_Tut_CubeAndContactButton_1	Bu Oda'da test edilmemiş test cihazları olacak. Önceki testlerde görüldü ki, karmaşıklığın artması nedeniyle daha çok endişe hisseden adaylar bu seslerle rahatlıyorlar...<t:10>
LC_Tut_CubeAndContactButton_2	"Biyolojik geri bildirim ekranından gördüğümüz kadarıyla ruh halin neredeyse kabul edilebilir sınırlara ulaşmış.<t:5><t:3> \nGüzel.<t:0.3>"
LC_Tut_CubeAndContactButton_3	Kapıyı açık tutmak için kırmızı Ağır Hizmet Süper Çarpışma Süper Düğmesi'ne sürekli basmak gerekir.<t:5>
LC_Tut_CubeAndContactButton_4	Bir Hayati Cihaz Havalandırması da bulunmaktadır. Etkinleştirildiğinde bir Ağırlıklı Depolama Küpü bırakır.<t:6>
LC_Tut_CubeAndContactButton_4Alt	Bir Hayati Cihaz Havalandırması da bulunmaktadır. Etkinleştirildiğinde bir Ağırlıklı Eşlik Küpü bırakır.<t:6>
LC_Tut_CubeAndContactButton_5	Eğer dikkat ettiysen çözümü açıkça görebiliyorsundur.<t:3><t:1> Eğer ihtiyacın olursa ... <t:1><t:1> bol şans!<t:0.6>
LC_Tut_TurretIntro_1	"Tebrikler! Herkesin tahmin ettiğinden daha ileri gittin.<t:4><t:1.5> \nNe yazık ki, test koşulları daha az tehlikeli bir hale gelmeyecek.<t:4><t:1> \nBu testte Nöbetçi Taretler bulunuyor.<t:3>"
LC_Tut_TurretIntro_2	Taretin Hedef Alma Lazeri tarafından görülen araçlar diskalifiye edilmek üzere işaretlenecek ve ardından hızlıca parçalarına ayrılacaklar.<t:6>
LC_Tut_EmancipationGridIntro	"Bu odadaki mavi çizgiler, Aperture Science Malzeme Emansipasyon Izgaraları'dır.<t:5><t:1> \nBunlar, test araçları dışındaki tüm Aperture Science test cihazlarını yok edecekler.<t:6>"
LC_Tut_AFPIntro_1	"Bu testte Aperture Science Fırlatma Plakası bulunmaktadır.<t:2.5><t:2>\nBu, adayların test araçlarını havaya fırlatma dürtüsüne karşı koyup koyamayacaklarını test etmek için kullanıldı.<t:4.5>"
LC_Tut_AFPIntro_2	"Sonuç: Adayların %142'si karşı koyamadılar. <t:4><t:0.5>\nFazlalık %42, araçlara ek olarak test cihazlarını da havaya fırlatan uyanık adaylardan oluşuyor.<t:8>"
LC_Tut_AFPIntro_3	Neyse ki araç sürücüleri, test cihazlarının bombardımanı altında bir yolda ilerlemeye benzemeyen aşırı zorlayıcı koşullar altında başarılı olmak için yolda kalma eğitimi alıyorlar.<t:10>
LC_Tut_PropGelIntro_1	Bu test için araçların, güvenlik kısıtlayıcılarının izin verdiğinden daha hızlı gitmeleri gerekiyor.<t:4>
LC_Tut_PropGelIntro_2	Turuncu Aperture Science İtici Güç Jeli, test aracının süratini üç katına çıkarabilmektedir. <t:6><t:2.0>Bir yan etki olarak, araç sürücüsünün aldığı keyfi de az miktarda artırmaktadır.<t:4>
LC_Tut_HintRedirection	Mevcut inşaat, doğrudan erişilebilir olmayan ankor noktalarını kullanan yön değiştirme prensibinin nasıl uygulanacağını gösteren bir örnektir.<t:7>
LC_Tut_GalleryBestPractice	Diğer faydalı prensipleri incelemen için sana sınırsız bir 'En İyi Uygulamalar Kitaplığı' erişimi verdiğimizi unutma.<t:8>
LC_Tut_RepGelIntro_1	Bu testte mavi Aperture Science Geri İtici Jel, üzerine düşen tüm nesneleri geri fırlatacak.<t:6>
LC_Tut_RepGelIntro_1a	Bir nesne ne kadar çok düşerse o kadar çok seker.
LC_Tut_RepGelIntro_2	Lütfen araç sürücülerinin yaşayacakları tüm eğlenceye şahit ol.<t:3><t:2> Muhteşem.<t:0.5>
LC_Tut_PelletsIntro_0	Bu test odasında, Aperture Science Yüksek Enerji Topları'nı harekete geçirecek araçlar bulunuyor.<t:5>
LC_Tut_PelletsIntro_1	Gerekli bir test protokolü nedeniyle, Aperture Science Yüksek Enerji Topları'nın test araçları üzerinde, tamamen buharlaşma gibi mekanik arızalar yaratabileceğini belirtmemiz gerekiyor.<t:10>
LC_Tut_PelletsIntro_2	Yol yapılan Değiştirilebilir Kalaslar'ın dayanıklılık özellikleri nedeniyle Yüksek Enerji Topları bunların yüzeyinden sekerler.<t:7>
LC_Tut_PelletsIntro_3	Bir Enerji Topu onun bağlı Enerji Topu Yakalayıcısı içine girdiğinde bazı test cihazları devreye girebilirler.<t:6>
LC_Tut_CubeShield_old	Ağırlıklı Depolama Küpü, Taret ateşine karşı portatif bir savunma olarak da kullanılabilir.<t:4>
LC_Tut_CubeShield	Ağırlıklı Eşlik Küpü, Taret ateşine karşı portatif bir savunma olarak da kullanılabilir.<t:4>
	Hayati Cihaz Havalandırması bir Ağırlıklı Eşlik Küpü verecek. Bu seni koruyacak.<t:5>
LC_Tut_GalleryReminder_1	İlk kez, bu Test Odası'nın üst bölümünde tamamen serbest asılı bir köprü inşaatı gerekiyor.<t:7>
LC_Tut_GalleryReminder_2	"Şimdi bu ilham verici sözleri aktarmamız gerekiyor: [\\\"Uninitialized Database\\\"] ... aynı şekilde, 'En İyi Uygulamalar Kitaplığı'nda etkili inşaat yöntemlerini araştırmakta utanılacak bir şey yoktur.<t:10>"
LC_Gladcom_ImpossibleTest	"Güçlendirme Merkezi üzülerek belirtmektedir ki, sıradaki testin yapılması mümkün değildir.<t:2>\nBunu çözmek için hiçbir girişimde bulunma.<t:1.5>"
LC_Gladcom_BreakAnnounce01	Güçlendirme Merkezi tüm adayların refahı için elinden geleni yapar. Pervane şapkalar ve askılar artık Eğlence Alanı'nda mevcut.<t:10>
LC_Gladcom_BreakAnnounce02	"Sıradaki teste geçmek için lütfen tek ayak üstünde dururken şapkanın pervanesini döndür.<t:5><t:1>  Güvenlik amacıyla, biraz daha Güvenlik Kamerasına dön.<t:4><t:2> \n[QUIET CHUCKLE]<t:1> <t:0.5> \nEvet, işte böyle.<t:1>"
LC_Gladcom_TestingCosts01	Güçlendirme Merkezi hatırlatmak istemektedir ki, tüm Test Odası maliyetleri aday tarafından karşılanacaktır.<t:6>
LC_Gladcom_TestingCosts02	Nakit yetersizliği durumunda Güçlendirme Merkezi tüm adaylara, test cihazı park etme görevlileri olarak bir telafi işi sunmaktadır.<t:8><t:1> İsteğe bağlı tazminat ödemek için aile üyeleri test aracı temizliği hizmeti verebilirler.<t:5>
LC_Gladcom_TestingCosts03	[TYPING SOUNDS] Telafi amaçlı kazançların kullanılarak...<t:3><t:0.5> [TYPING SOUNDS AND A DING]<t:1> ... giderlerin emeklilikten kısa bir süre önce ödenecek.<t:3.5>
LC_Gladcom_DaughterToWork	Unutma: Aperture Science Kızını İşyerine Getir Günü, onu test cihazı slalom yarışına dahil etmek için mükemmel bir fırsattır.<t:3>
