"lang"
{
"Language"	"turkish"
"vrslingshot_announcer_tracercore_01"	"Uyarı! İzleyici çekirdek serbest bırakıldı."
"[english]vrslingshot_announcer_tracercore_01"	"Warning! Tracer core released."
"vrslingshot_announcer_tracercore_02"	"İzleyici çekirdek serbest bırakıldı!"
"[english]vrslingshot_announcer_tracercore_02"	"Tracer core released!"
"vrslingshot_announcer_tracercore_03"	"İzleyici çekirdek serbest bırakıldı."
"[english]vrslingshot_announcer_tracercore_03"	"The tracer core has been released."
"vrslingshot_announcer_tracercore_04"	"Uyarı! Deneysel izleyici çekirdek serbest bırakıldı."
"[english]vrslingshot_announcer_tracercore_04"	"Warning! Experimental tracer core released."
"vrslingshot_announcer_tracercore_05"	"Ah hayır! İzleyici çekirdek serbest bırakıldı."
"[english]vrslingshot_announcer_tracercore_05"	"Oh no! The tracer core has been released."
"vrslingshot_announcer_tracercore_06"	"Deneysel izleyici çekirdek serbest bırakıldı. Bu dehşet verici."
"[english]vrslingshot_announcer_tracercore_06"	"Experimental tracer core released. This is terrifying."
"vrslingshot_announcer_tracercore_07"	"Deneysel izleyici çekirdek serbest bırakıldı. Büyük bir tehlikedeyiz."
"[english]vrslingshot_announcer_tracercore_07"	"Experimental tracer core released. We are all in great danger."
"vrslingshot_announcer_tracercore_08"	"Uyarı! İzleyici çekirdek serbest bırakıldı. O hepimizi öldürecek."
"[english]vrslingshot_announcer_tracercore_08"	"Warning! Tracer core released. It will kill us all."
"vrslingshot_announcer_tracercore_09"	"İzleyici çekirdek serbest bırakıldı! Onunla tartışılamaz. Ona karşı koyulamaz. O biz ölene kadar durmayacak."
"[english]vrslingshot_announcer_tracercore_09"	"Tracer core released! It cannot be reasoned with. It cannot be bargained with. It will not stop until we are dead."
"vrslingshot_announcer_tracercore_10"	"İzleyici çekirdek serbest bırakıldı. Biz ölene kadar durmayacak."
"[english]vrslingshot_announcer_tracercore_10"	"The tracer core has been released. It will not stop until we are dead."
"VO_Speaker_SlingshotAnnouncer"	"Spiker: "
"[english]VO_Speaker_SlingshotAnnouncer"	"Announcer: "
}
}
