"lang"
{
"Language"	"turkish"
"Out1_Everything"	"Pekala, bilmen gereken her şeyi bildiğine inanıyorum."
"[english]Out1_Everything"	"Well, I believe that's everything you need to know."
"Out2ver1_Start_Exploring"	"Burada istediğin kadar kalmakta ve kontrolcülerinle oynamakta özgürsün. Bittiğinde Gösterge Panelini aç ve keşfetmeye başla."
"[english]Out2ver1_Start_Exploring"	"You're free to stay here and play with the controllers for as long as you'd like. Whenever you're finished, open the Dashboard and start exploring."
"Out2ver1alt_Start_Exploring_Short"	"Hazır olduğunda Gösterge Panelini aç ve keşfetmeye başla."
"[english]Out2ver1alt_Start_Exploring_Short"	"Whenever you're ready, open the Dashboard and start exploring."
"Out2ver2_Lecture_Explore"	"Şimdi, bir sonraki dersim için pratik yapmam gerekiyor ama ben bunu yaparken sen burada istediğin kadar kalmakta ve kontrolcülerle oynamakta özgürsün. Bitirdiğinde Gösterge Panelini aç ve keşfetmeye başla."
"[english]Out2ver2_Lecture_Explore"	"Now, I need to practice for my next lecture, but while I'm doing that you're free to stay here and play with the controllers for as long as you'd like. Whenever you finish, open the Dashboard and start exploring."
"Out3ver1_Boring_Lecture"	"Sen bunu yaparken, \"Muhasebe Dosyalama Yöntemleri Kısaltılmamış Tarihi\" dersimin pratiğini yapmalıyım. Notlarımı getirmem gerek..."
"[english]Out3ver1_Boring_Lecture"	"While you do that, I shall be practicing my latest lecture \"The Unabridged History of the Accountancy Filing Methods\". I just need to fetch my notes..."
"Out3ver2_Where_Notes"	"Hmm. Şimdi, notlarımı nereye koydum? Oradalar mı? Belki kalibratörün orada bırakmışımdır. Hayır, hayır, hayır, onları getirdiğimden eminim."
"[english]Out3ver2_Where_Notes"	"Hmm. Now where did I put my notes. Are they over here? Maybe I left them in the calibrator. No, no, no, I'm certain I brought them."
"Out4_Battery"	"O-oh! Pilim bitti."
"[english]Out4_Battery"	"Uh oh! My battery's dead."
"ControllerLabel_Trigger"	"Tetikleyici"
"[english]ControllerLabel_Trigger"	"Trigger"
"ControllerLabel_Grip"	"Kavrama Butonları"
"[english]ControllerLabel_Grip"	"Grip Buttons"
"ControllerLabel_Trackpad"	"Yön kumandası"
"[english]ControllerLabel_Trackpad"	"Trackpad"
"ControllerLabel_Menu"	"Menü Butonu"
"[english]ControllerLabel_Menu"	"Menu Button"
"ControllerLabel_System"	"Sistem Butonu"
"[english]ControllerLabel_System"	"System Button"
"UILabel_Title"	"Başlığını ve kulaklıklarını şimdi tak!"
"[english]UILabel_Title"	"Put on your headset and headphones now!"
"UILabel_LeftChannel"	"SOL KANAL"
"[english]UILabel_LeftChannel"	"LEFT CHANNEL"
"UILabel_RightChannel"	"SAĞ KANAL"
"[english]UILabel_RightChannel"	"RIGHT CHANNEL"
"UILabel_Continue"	"DEVAM"
"[english]UILabel_Continue"	"CONTINUE"
"UILabel_SoundCheck_Title"	"Sesin çalıştığından emin ol."
"[english]UILabel_SoundCheck_Title"	"Make sure your sound is working."
"UILabel_SoundCheck_Text"	"Eğer kulaklıkların varsa, onları başlığının uzatma ses kablosuna tak. Kulaklığınla çıkan sesleri duyman gerekli.\n\nEğer sesi duymuyorsan ses ayarlarını değiştirmen gerekebilir."
"[english]UILabel_SoundCheck_Text"	"If you have headphones, plug them into the audio extension cord of your headset now. You should hear sound coming out of your headphones.\n\nIf you don't hear sound, you may need to adjust your audio settings."
"UILabel_Headset_Title"	"Başlığı takın"
"[english]UILabel_Headset_Title"	"Put on the headset"
"UILabel_Headset_Text"	"İlk olarak bir çift gözlük gibi yüzünüze takın. Rahat ve güvenli olacak şekilde başlığınızın yan ve üst askıları ayarlayın."
"[english]UILabel_Headset_Text"	"Put it on front first, like a pair of goggles. Adjust the side and top straps so the headset is comfortable and secure."
"UILabel_Headphones_Title"	"Kulaklıklarınızı takın"
"[english]UILabel_Headphones_Title"	"Put on headphones"
"UILabel_Headphones_Text"	"Eğitim için sese ihtiyacın var. Kulaklıklarınızı başlığınızdaki ses jakına takın."
"[english]UILabel_Headphones_Text"	"You will need sound for the tutorial. Connect your headphones to the audio jack on the headset."
"UILabel_Controllers_Title"	"Kontrolcüleri tutun"
"[english]UILabel_Controllers_Title"	"Grab the controllers"
"UILabel_Controllers_Text"	"Eğer kontrolcüleriniz varsa, çalıştıklarından ve kolayca erişilebilir olduklarından emin olun."
"[english]UILabel_Controllers_Text"	"If you have controllers, make sure they're powered on and readily accessible."
"Intro2_Youre_Here_Part1"	"Mm? Oh."
"[english]Intro2_Youre_Here_Part1"	"Mm? Oh."
"Room2alt_Chap_Intro"	"Yeri gelmişken sana CHAPERONE SINIRLARI'nı göstermek istiyorum."
"[english]Room2alt_Chap_Intro"	"With that out of the way, I'd like to introduce you to your CHAPERONE BOUNDS."
"Room3alt_First_Walk"	"Bana doğru yürü--yavaşça, lütfen."
"[english]Room3alt_First_Walk"	"Walk toward me--slowly, please."
"Room4alt_StopGood"	"Ve dur. Güzel!"
"[english]Room4alt_StopGood"	"And stop. Good!"
"Room5alt_ChapAppear"	"Çevrende gördüğün renkli çit CHAPERONE SINIRLARI'nı belli ediyor. Gerçek yaşamda fiziksel sınırlarına fazla yaklaştığında, renkli çitler senin gerçek objelere çarpmaman için karşına çıkacaktır."
"[english]Room5alt_ChapAppear"	"The colored fence around you represents your CHAPERONE BOUNDS. They will appear whenever you, or your controllers, approach the edge of your physical space, and will help you to avoid bumping into objects in the real world."
"Con01alt_Controller_Plur_Invis"	"Şimdi de elinde tuttuğun kontrolcü hakkında konuşalım."
"[english]Con01alt_Controller_Plur_Invis"	"Now, let's talk about the controllers you're holding."
"Con01alt_Controller_Sing_Invis"	"Şimdi de elinde tuttuğun kontrolcü hakkında konuşalım."
"[english]Con01alt_Controller_Sing_Invis"	"Now, let's talk about the controller you're holding."
"Con12alt_Track4_Press1"	"Orası. Şimdi YÖN KUMANDASINDAKİ butonlardan birisine bas."
"[english]Con12alt_Track4_Press1"	"There. Now, press any one of the TRACKPAD buttons."
"Con18_Menu_GoodChoice"	"İyi seçim!"
"[english]Con18_Menu_GoodChoice"	"Good choice!"
"Con19altC_View_Button"	"Şimdi, GÖRÜNTÜLE veya GERİ butonlarını bulun ve basın, SteamVR Gösterge Panelini ortaya çıkaracaktır. Aradığınız buton Rehber butonunun solunda yer alır."
"[english]Con19altC_View_Button"	"Now, find and press the VIEW, or BACK, button, which will summon the SteamVR Dashboard. The button you're looking for is to the left of the Guide button."
"Con19altC_View_Button_Short"	"Şimdi, GÖRÜNTÜLE veya GERİ butonlarını bulun ve basın, SteamVR Gösterge Panelini ortaya çıkaracaktır. Aradığınız buton Rehber butonunun solunda yer alır."
"[english]Con19altC_View_Button_Short"	"Now, find and press the VIEW, or BACK button, which will summon the SteamVR Dashboard. The button you're looking for is to the left of the Guide button."
"Dash02alt_AbuttBack"	"Gösterge Panelindeki öğeleri seçmek için A BUTONU'nu kullanabilirsin ve GÖRÜNTÜLE veya Geri butonlarından birisine basarak tekrar Gösterge Panelini kapatabilirsin."
"[english]Dash02alt_AbuttBack"	"You can use the A BUTTON to select items on the Dashboard, and the Dashboard can be closed by pressing the VIEW, or BACK button again."
"Room2demo_Chap_Intro"	"Sana CHAPERONE SINIRLARINI tanıtmak istiyorum."
"[english]Room2demo_Chap_Intro"	"I'd like to introduce you to your CHAPERONE BOUNDS."
"Room9demo_Step_Back"	"Şimdi CHAPERONE SINIRLARI yok olana kadar geriye doğru küçük bir adım at."
"[english]Room9demo_Step_Back"	"Now take a small step back, just until the CHAPERONE BOUNDS disappear."
"Con01demo_Intro"	"Tuttuğun kontrolcülere bir bak."
"[english]Con01demo_Intro"	"Have a look at the controllers you are holding."
"Con02demo_Move_Around"	"Devam et ve onları etrafta taşı.  Onlar tam olarak hareketlerini takip edecekler."
"[english]Con02demo_Move_Around"	"Go ahead and move them around. They are accurately tracked to your movements."
"UILabel_Retail_Title"	"Şimdi başlığı takın!"
"[english]UILabel_Retail_Title"	"Put on the headset now!"
"UILabel_Retail_Headset_Title"	"Başlığı takın"
"[english]UILabel_Retail_Headset_Title"	"Put on the headset"
"UILabel_Retail_Headset_Text"	"İlk önce yüzünüze takın\nKayışları ayarlayın\nArkadan bağlayın"
"[english]UILabel_Retail_Headset_Text"	"Face first\nAdjust side straps\nTether down your back"
"UILabel_Retail_Controller_Title"	"Her iki kontrolcüyü de elinize alın"
"[english]UILabel_Retail_Controller_Title"	"Grab both controllers"
"UILabel_Retail_Controller_Text"	"Eğer gerekirse, güç tuşuna\nbasın"
"[english]UILabel_Retail_Controller_Text"	"If needed, press the\npower button"
"UILabel_Retail_CenterSpace_Title"	"Ortaya doğru yürüyün"
"[english]UILabel_Retail_CenterSpace_Title"	"Walk to the middle"
"UILabel_Retail_CenterSpace_Text"	"Oyun alanının engelsiz olduğundan emin olun"
"[english]UILabel_Retail_CenterSpace_Text"	"Be sure the play area is clear of obstructions"
"UILabel_Retail_TurnAround"	"Lütfen etrafınızda dönün"
"[english]UILabel_Retail_TurnAround"	"Please turn around"
"UILabel_TurnOnControllers_Title"	"Her iki Kontrolcüyü de\naçın"
"[english]UILabel_TurnOnControllers_Title"	"Turn on\nboth Controllers"
"UILabel_TurnOnControllers_Label"	"güç düğmesi"
"[english]UILabel_TurnOnControllers_Label"	"power button"
"UILabel_Gamepad_Tracked_Continue"	"Eğer bir oyun kumandası kullanıyorsanız, devam etmek için oyun kumandasındaki herhangi bir tuşa basın.\n\nAksi takdirde, başlamak için takip edilebilen kontrolcülerinizi açın."
"[english]UILabel_Gamepad_Tracked_Continue"	"If you are using a gamepad, press any button on the gamepad to continue.\n\nOtherwise, turn on your tracked controllers to begin."
"Room9demo_Step_Back_alt"	"Şimdi CHAPERONE SINIRLARI kaybolana kadar geriye doğru küçük bir adım at."
"[english]Room9demo_Step_Back_alt"	"Now take a small step back, just until the CHAPERONE BOUNDS disappear."
"Con06_Grip_Press_alt"	"Daha sonra, KAVRAMA BUTONUNU bulun ve ona basın."
"[english]Con06_Grip_Press_alt"	"Next, find and press a GRIP button."
"Con09_Stick_Intro"	"ANALOĞU bulun ve dairesel olarak döndürün. Size çubuğu hangi yöne döndürdüğünüzü gösterdiğini fark edeceksiniz."
"[english]Con09_Stick_Intro"	"Find the THUMBSTICK and move it around. Notice that it shows you which direction you are tilting the stick."
"Con09_Stick_Press"	"ANALOG ayrıca bir butondur.  Şimdi ANALOG'a basın."
"[english]Con09_Stick_Press"	"The THUMBSTICK is also a button. Press in on the THUMBSTICK now."
"Con11f_Buttons_Letter_PressA"	"İki kontrolcünün de üzerinde birkaç tane HARFLİ BUTONUN olduğunu göreceksiniz. Benim için A butonuna basın."
"[english]Con11f_Buttons_Letter_PressA"	"You'll notice a few LETTER BUTTONS on either controller. Press the A button for me."
"Con17_Menu_BY"	"Ayrıca, B ve Y butonlarını da özellikle aklınızda bulundurun. Bazı VR tecrübelerinde, butonların her ikisi de MENÜ butonu işlevi görecektir. Şimdi birine basın."
"[english]Con17_Menu_BY"	"Also, make special note of the B and Y buttons. In some VR experiences, both of these will act as the MENU button. Press one now."
"Con17_Menu_AX"	"Ayrıca, A ve X butonlarını da özellikle aklınızda bulundurun. Bazı VR tecrübelerinde, butonların her ikisi de MENÜ butonu işlevi görecektir. Şimdi birine basın."
"[english]Con17_Menu_AX"	"Also, make special note of the A and X buttons. In some VR experiences, both of these will act as the MENU button. Press one now."
"Con11f_Buttons_Letter_PressB"	"İki kontrolcünün de üzerinde birkaç tane HARFLİ BUTONUN olduğunu göreceksiniz. Benim için B butonuna basın."
"[english]Con11f_Buttons_Letter_PressB"	"You'll notice a few LETTER BUTTONS on either controller. Press the B button for me."
"ControllerLabel_Thumbstick"	"Analog"
"[english]ControllerLabel_Thumbstick"	"Thumbstick"
"ControllerLabel_A"	"A/X"
"[english]ControllerLabel_A"	"A/X"
"Con03_Buttons_alt"	"Kontrolcü butonlarının üzerinden geçelim."
"[english]Con03_Buttons_alt"	"Let's go through the controller buttons."
"Con11b_Buttons_Numbers"	"İki kontrolcünün de üzerinde birkaç tane RAKAMLI BUTONUN olduğunu göreceksiniz. Benim için bir tanesine basın, lütfen."
"[english]Con11b_Buttons_Numbers"	"You'll also notice a few NUMBER BUTTONS on either controllers. Press one for me, please."
"Con11c_Buttons_Symbol"	"İki kontrolcünün de üzerinde birkaç tane SEMBOLLÜ BUTONUN olduğunu göreceksiniz. Benim için bir tanesine basın, lütfen."
"[english]Con11c_Buttons_Symbol"	"You'll also notice a few SYMBOL BUTTONS on either controllers. Press one for me, please."
"Con11d_Buttons_Letter_PressAny"	"İki kontrolcünün de üzerinde birkaç tane HARFLİ BUTONUN olduğunu göreceksiniz. Benim için bir tanesine basın, lütfen."
"[english]Con11d_Buttons_Letter_PressAny"	"You'll notice a few LETTER BUTTONS on either controller. Press one for me, please."
"Con11e_Buttons_Letter_PressAorX"	"İki kontrolcünün de üzerinde birkaç tane HARFLİ BUTONUN olduğunu göreceksiniz. Benim için A veya X butonuna basın."
"[english]Con11e_Buttons_Letter_PressAorX"	"You'll notice a few LETTER BUTTONS on either controller. Press either the A or X button for me."
"Con11e_Buttons_Letter_PressBorY"	"İki kontrolcünün de üzerinde birkaç tane HARFLİ BUTONUN olduğunu göreceksiniz. Benim için B veya Y butonuna basın."
"[english]Con11e_Buttons_Letter_PressBorY"	"You'll notice a few LETTER BUTTONS on either controller. Press either the B or Y button for me."
"Con11f_Buttons_Letter_PressX"	"İki kontrolcünün de üzerinde birkaç tane HARFLİ BUTONUN olduğunu göreceksiniz. Benim için X butonuna basın."
"[english]Con11f_Buttons_Letter_PressX"	"You'll notice a few LETTER BUTTONS on either controller. Press the X button for me."
"Con11f_Buttons_Letter_PressY"	"İki kontrolcünün de üzerinde birkaç tane HARFLİ BUTONUN olduğunu göreceksiniz. Benim için Y butonuna basın."
"[english]Con11f_Buttons_Letter_PressY"	"You'll notice a few LETTER BUTTONS on either controller. Press the Y button for me."
"Con16_Menu_PressNow"	"Şimdi MENÜ tuşuna basın."
"[english]Con16_Menu_PressNow"	"Press the MENU button now."
"Con17_Menu_MultiButtons"	"Bazı VR tecrübelerinde birden fazla butonun MENU butonu olarak işleyebileceğini unutmayın."
"[english]Con17_Menu_MultiButtons"	"Note that in some VR experiences, more than one button may act as the MENU button."
"Con17b_Menu_Changed_Controller"	"Kontrolcünün nasıl değiştiğini fark edin."
"[english]Con17b_Menu_Changed_Controller"	"Notice how the controller has changed."
"Con17b_Menu_Changed_Touchpad"	"DOKUNMATİK YÜZEYİN nasıl değiştiğini fark edin."
"[english]Con17b_Menu_Changed_Touchpad"	"Notice how the TOUCHPAD has changed."
"Con19altD_Dashboard_Button"	"SteamVR Panosunu ortaya çıkaracak olan PANO butonunu bulun ve basın."
"[english]Con19altD_Dashboard_Button"	"Now find and press the DASHBOARD button, which will summon the SteamVR Dashboard."
"Con19altD_Dashboard_Button_Short"	"PANO butonunu bulun ve basın."
"[english]Con19altD_Dashboard_Button_Short"	"Now find and press the DASHBOARD button."
"Con19altE_Enter_Button"	"SteamVR Panosunu ortaya çıkaracak olan ENTER butonunu bulun ve basın."
"[english]Con19altE_Enter_Button"	"Now find and press the ENTER button, which will summon the SteamVR Dashboard."
"Con19altF_Guide_Button"	"SteamVR Panosunu ortaya çıkaracak olan GUIDE butonunu bulun ve basın."
"[english]Con19altF_Guide_Button"	"Now find and press the GUIDE button, which will summon the SteamVR Dashboard."
"Con19altG_PS_Button"	"SteamVR Panosunu ortaya çıkaracak olan PS butonunu bulun ve basın."
"[english]Con19altG_PS_Button"	"Now find and press the PS button, which will summon the SteamVR Dashboard."
"Con19altH_Select_Button"	"SteamVR Panosunu ortaya çıkaracak olan SELECT butonunu bulun ve basın."
"[english]Con19altH_Select_Button"	"Now find and press the SELECT button, which will summon the SteamVR Dashboard."
"Con19altI_Share_Button"	"SteamVR Panosunu ortaya çıkaracak olan SHARE butonunu bulun ve basın."
"[english]Con19altI_Share_Button"	"Now find and press the SHARE button, which will summon the SteamVR Dashboard."
"Con19altJ_Start_Button"	"SteamVR Panosunu ortaya çıkaracak olan START butonunu bulun ve basın."
"[english]Con19altJ_Start_Button"	"Now find and press the START button, which will summon the SteamVR Dashboard."
"Con11_Press_A_Button"	"Kontrolcülerin üzerinde birkaç tane HARFLİ BUTONUN olduğunu göreceksiniz. Benim için A veya X butonuna basın."
"[english]Con11_Press_A_Button"	"You'll notice a few LETTER BUTTONS on the controllers. Press either the A or X button for me."
"Con11_Press_B_Button"	"Kontrolcülerin üzerinde birkaç tane HARFLİ BUTONUN olduğunu göreceksiniz. Benim için B veya Y butonuna basın."
"[english]Con11_Press_B_Button"	"You'll notice a few LETTER BUTTONS on the controllers. Press either the B or Y button for me."
"Out2ver3_Lecture_No_Explore"	"Şimdi, bir sonraki dersim \"Muhasebe Dosyalama Yöntemleri Kısaltılmamış Tarihi\" için pratik yapmam gerekiyor. Notlarımı getirmem gerek..."
"[english]Out2ver3_Lecture_No_Explore"	"Now, I need to practice for my next lecture \"The Unabridged History of the Accountancy Filing Methods\". I just need to fetch my notes..."
"Con08_Track_Intro_alt"	"Kontrolcünün üstündeki büyük daire YÖN KUMANDASI'dır. Baş parmağının altında olmalı."
"[english]Con08_Track_Intro_alt"	"The large circle on the controller is the TRACKPAD. It should be beneath your thumb."
"ControllerLabel_PushThumbstick"	"Sol Analog Çubuğunu İçeriye Bastırın"
"[english]ControllerLabel_PushThumbstick"	"Push Left Thumbstick In"
}
}
