"lang"
{
"Language"	"turkish"
"Longbow_Rabble"	"Ordu kalenizi tehdit ediyor!"
"[english]Longbow_Rabble"	"The horde is threatening your castle!"
"Longbow_Instructions"	"Kalenizi savunun!"
"[english]Longbow_Instructions"	"Defend your castle!"
"Longbow_Score"	"Skor"
"[english]Longbow_Score"	"Score"
"Xortex_Hint_Orbs_Laser"	"LAZERİ ŞARJ ETMEK İÇİN {0} KÜRE TOPLAYIN"
"[english]Xortex_Hint_Orbs_Laser"	"COLLECT {0} ORBS TO CHARGE LASER"
"Xortex_Hint_Orbs_Bomb"	"BOMBAYI ŞARJ ETMEK İÇİN {0} KÜRE TOPLAYIN"
"[english]Xortex_Hint_Orbs_Bomb"	"COLLECT {0} ORBS TO CHARGE BOMB"
"Xortex_Hint_Bomb"	"BOMBAYI PATLATMAK İÇİN TETİĞİ ÇEKİN"
"[english]Xortex_Hint_Bomb"	"PULL TRIGGER TO DETONATE BOMB"
"Xortex_Wave"	"DALGA-{0}"
"[english]Xortex_Wave"	"WAVE-{0}"
"Xortex_BestScore"	"EN İYİ: {0}"
"[english]Xortex_BestScore"	"BEST: {0}"
"Xortex_HighScores"	"YÜKSEK SKORLAR"
"[english]Xortex_HighScores"	"HIGH SCORES"
"Xortex_ModeTitle"	"MOD SEÇİN"
"[english]Xortex_ModeTitle"	"SELECT MODE"
"Xortex_ModeText"	"MOD SEÇMEK İÇİN TETİĞİ ÇEKİN"
"[english]Xortex_ModeText"	"PULL TRIGGER TO SELECT MODE"
"Xortex_ClassicTitle"	"KLASİK"
"[english]Xortex_ClassicTitle"	"CLASSIC"
"Xortex_ClassicText"	"XORTEX ÇEKİRDEĞİNİ YENEBİLİR MİSİN?"
"[english]Xortex_ClassicText"	"CAN YOU DEFEAT THE XORTEX CORE?"
"Xortex_InfiniteTitle"	"SONSUZ"
"[english]Xortex_InfiniteTitle"	"INFINITE"
"Xortex_InfiniteText"	"KÜRESEL YÜKSEK SKORA ULAŞ"
"[english]Xortex_InfiniteText"	"ACHIEVE THE GLOBAL HIGH SCORE"
"Intro_SubtitlesOn"	"Altyazılar: Açık"
"[english]Intro_SubtitlesOn"	"Subtitles: ON"
"Intro_SubtitlesOff"	"Altyazılar: Kapalı"
"[english]Intro_SubtitlesOff"	"Subtitles: OFF"
"Xortex_NewBestScore"	"YENİ REKOR!"
"[english]Xortex_NewBestScore"	"NEW RECORD!"
"Title_LevelSelect"	"Seviye Seç"
"[english]Title_LevelSelect"	"Level Select"
"Title_TheLab"	"The Lab"
"[english]Title_TheLab"	"The Lab"
"Title_VesperPeak"	"Vesper Zirvesi"
"[english]Title_VesperPeak"	"Vesper Peak"
"Title_CinderCone"	"Kül Konisi"
"[english]Title_CinderCone"	"Cindercone"
"Title_LavaTube"	"Lav Tüpü"
"[english]Title_LavaTube"	"Lava Tube"
"Title_Venice"	"Venedik"
"[english]Title_Venice"	"Venice"
"Longbow_Win1"	"Düşman yenilgiye uğratıldı! Ama daha fazlası geliyor..."
"[english]Longbow_Win1"	"Horde defeated! But more are coming..."
"Longbow_Win2"	"Bravo! Dinlenmek için biraz bekle!"
"[english]Longbow_Win2"	"Well done! Take a moment to rest!"
"Longbow_Win3"	"Harika savunma! Daha fazlası için hazırlan!"
"[english]Longbow_Win3"	"Excellent defense! Prepare for more!"
"Longbow_Win4"	"Kalabalık yeni bir saldırı için hazırlanıyor!"
"[english]Longbow_Win4"	"The horde is preparing another assault!"
"Longbow_Win5"	"Düşmanın öfkesi büyüyor!"
"[english]Longbow_Win5"	"The horde's fury grows!"
"Longbow_Win6"	"Saldıraları devam ediyor!"
"[english]Longbow_Win6"	"Their onslaught continues!"
"Longbow_Win7"	"Çatışmaya devam, sürü katili!"
"[english]Longbow_Win7"	"Fight on\nhorde slayer!"
"hubannouncer_intro_01"	"Merhaba Test Gezgini ve Aperture Science Alt Evren Arama Merkezi'ne hoş geldin."
"[english]hubannouncer_intro_01"	"Hello, Test Traveler, and welcome to the Aperture Science Sub-Universe Exploration Center."
"hubannouncer_intro_02"	"Lütfen ilerleyin."
"[english]hubannouncer_intro_02"	"Please move forward."
"hubannouncer_intro_move_nag_01"	"İlerlemek için mekansal yeniden atama çubuğunuzu kullanın."
"[english]hubannouncer_intro_move_nag_01"	"Please use your spatial reassignment wand to move forward."
"hubannouncer_intro_move_nag_02"	"İleri yürümek için lütfen değneğini kullan."
"[english]hubannouncer_intro_move_nag_02"	"Please use your wand to move forward."
"hubannouncer_intro_move_nag_03"	"Hala ilerlemediniz. Lütfen ilerleyin."
"[english]hubannouncer_intro_move_nag_03"	"You have not moved forward yet. Please do so now."
"hubannouncer_intro_move_nag_04"	"Bu durumda, her şeyin bulunduğu önünüzdeki alanı \"ileri\" olarak tanımladık."
"[english]hubannouncer_intro_move_nag_04"	"In this instance, we have defined 'forward' as the area directly in front of you where all the things are."
"hubannouncer_intro_move_nag_05"	"Sensörler henüz ilerlemediğinizi belirtiyor."
"[english]hubannouncer_intro_move_nag_05"	"Sensors indicate that you have not moved forward yet."
"hubannouncer_intro_move_nag_06"	"Biyometrik sensörler kalp atış hızında artış, vücutta kızarma, [utanma] ve [şaşkınlık] içeren agresif vücut dili algıladı. Tahmine dayalı analitikler ileriye yürürseniz bu belirtilerin azalacağını gösteriyor."
"[english]hubannouncer_intro_move_nag_06"	"Biometric sensors show increased heart rate, flushed skin and aggressive body language, indicating [embarrassment] and [confusion]. Predictive analytics show moving forward may alleviate these symptoms."
"hubannouncer_intro_03"	"Bu Aperture Science Yüz-Yerleştirmeli Portal Küresi. Bu sizin geniş çaplı keşfedilmemiş dünyalara açılan kapınız."
"[english]hubannouncer_intro_03"	"This is the Aperture Science Face-Mounted Portal Sphere. It is your gateway to a vast continuum of undiscovered worlds."
"hubannouncer_intro_04"	"Tam resmî bildiri: Bu keşfedilmemiş dünyalar spor amaçlı insan avlayan örümcekler, zehirler, asitler ve yırtıcı hayvanlar içerebilir."
"[english]hubannouncer_intro_04"	"Full legal disclosure: These undiscovered worlds may also contain undiscovered spiders, poisons, acids and apex predators that hunt humans for sport."
"hubannouncer_intro_05"	"Portal Küresini yüzünüze koyun."
"[english]hubannouncer_intro_05"	"Put the Portal Sphere on your face now."
"hubannouncer_portal_nag_01"	"Henüz yüzünüze portal küresini yerleştirmediniz. Lütfen şimdi yerleştirin."
"[english]hubannouncer_portal_nag_01"	"You have not put the portal sphere on your face yet. Please do so now."
"hubannouncer_portal_nag_02"	"Portal küresi henüz yüzünüzde değil. Lütfen onu şimdi yüzünüze koyun."
"[english]hubannouncer_portal_nag_02"	"The portal sphere is not on your face yet. Please put it on your face now."
"hubannouncer_portal_nag_03"	"Sensörler portal küresini yüzünüze koymadığınızı gösteriyor."
"[english]hubannouncer_portal_nag_03"	"Sensors indicate that you have not put the portal sphere on your face."
"hubannouncer_portal_nag_04"	"İstediğiniz zaman yüzünüze portal küresini yerleştirmekten çekinmeyin."
"[english]hubannouncer_portal_nag_04"	"Feel free to put the portal sphere on your face at any time immediately."
"hubannouncer_portal_nag_05"	"Portal küresi son 10 saniyedir yüzünüz ile bir etkileşime geçmedi. Bu doğru değil."
"[english]hubannouncer_portal_nag_05"	"The portal sphere has not come into contact with your face in the last ten seconds. This is incorrect."
"hubannouncer_portal_nag_06"	"Sensörler kullanıcı hatasını belirtiyor: Portal küresi yüzünüzde değil."
"[english]hubannouncer_portal_nag_06"	"Sensors indicate user error: The portal sphere is not on your face."
"hubannouncer_portal_nag_07"	"Belirtmek gerekirse, \"yüz\" dediğimiz bölge kafanızın ön kısmıdır. Lütfen şimdi oraya portal küresini yerleştirin."
"[english]hubannouncer_portal_nag_07"	"To clarify: The face part of your body is the section of your head directly in front of you. Please put the portal sphere there now."
"hubannouncer_event_general_01"	"Uyarı, Cep Evren Laboratuvarı Sekiz'in Test Gezgini: Ne yapıyorsun?"
"[english]hubannouncer_event_general_01"	"Attention, Test Traveler in Pocket Universe Lab Eight: What are you doing?"
"hubannouncer_event_general_02"	"Uyarı, Cep Evren Laboratuvarı Sekiz'in Test Gezgini: Lütfen kendinizi tanımlayın."
"[english]hubannouncer_event_general_02"	"Attention, Test Traveler in Pocket Universe Lab Eight: Please explain yourself."
"hubannouncer_event_general_03"	"Uyarı, Cep Evreni Laboratuvarı Sekiz'in Test Gezgini: Devam et."
"[english]hubannouncer_event_general_03"	"Attention, Test Traveler in Pocket Universe Lab Eight: Carry on."
"hubannouncer_event_doorexit_01"	"Bu kapıdan sonrası sadece yük kaldırıcı bölümüdür. Bu noktadan sonra hiçbir yaya trafiğine izin verilmez."
"[english]hubannouncer_event_doorexit_01"	"This door leads to a forklift-only lane. No foot traffic is permitted beyond this point."
"hubannouncer_event_doorexit_02"	"Test laboratuvarının sınırlarını terk etmeyin."
"[english]hubannouncer_event_doorexit_02"	"Do not leave the boundaries of the test lab."
"hubannouncer_event_doorexit_03"	"Test laboratuvarının sınırlarını terk ediyorsunuz. Yapmayın. Teşekkürler."
"[english]hubannouncer_event_doorexit_03"	"You are now leaving the boundaries of the test lab. Don't. Thank you."
"hubannouncer_event_doorexit_04"	"Test laboratuvarının sınırlarını terk etmeyi deniyorsunuz."
"[english]hubannouncer_event_doorexit_04"	"You are attempting to leave the confines of the test lab."
"hubannouncer_event_doorexit_05"	"Arkanızda geniş çaplı keşfedilmemiş dünyalar var. Önünüzde ise bir depo var. Eğer deneyleriniz ataç gerektirecek olursa, size bu kapıyı açmanız için bir anahtar vereceğiz."
"[english]hubannouncer_event_doorexit_05"	"Behind you is a vast continuum of undiscovered worlds. In front of you is a supply closet. If your experiments require paper clips we will give you a key."
"hubannouncer_event_doorexit_rare_01"	"Arındırma Ortağı sizi, deney geçişi sırasında ev sahipliği yapmış olabileceğiniz hastalıklardan, yumurta kümelerinden veya tehlikeli süper parazitlerden arındırana kadar test laboratuvarının sınırlarını terk etmeyin."
"[english]hubannouncer_event_doorexit_rare_01"	"Do not leave the boundaries of the test lab until a Decontamination Associate has cleared you of quarantine from possible diseases, incubating egg clusters or malicious super-parasites you may have become host to during your test-transits."
"hubannouncer_event_throwportal_01"	"Uyarı, Test Gezgini: Portal Kürelerinin üretim maliyeti yedi trilyon dolar. Eğer birini kırarsanız, ücreti ödemenizden düşülecektir."
"[english]hubannouncer_event_throwportal_01"	"Attention, Test Traveler: Portal Spheres cost seven trillion dollars to manufacture. If you break one, it will be deducted from your pay."
"hubannouncer_event_throwportal_02"	"Uyarı, Test Gezgini. Portal Küreleri aynı zamanda çok pahalı olan minyatür patlayıcı kara deliklerdir."
"[english]hubannouncer_event_throwportal_02"	"Attention, Test Traveler. Portal Spheres are highly explosive miniature black holes that are also highly expensive."
"hubannouncer_event_throwportal_03"	"Portal Küreleri minyatür evrenler içeren narin bilimsel aygıtlardır. Ne kadar benzeseler de, basket topu değillerdir."
"[english]hubannouncer_event_throwportal_03"	"Portal spheres are delicate scientific instruments that contain miniature universes. Though they resemble them, they are not basketballs."
"hubannouncer_event_throwportal_04"	"Cep Evren Laboratuvarı Sekiz'de Geçici Deney yeniden atandı."
"[english]hubannouncer_event_throwportal_04"	"Ad hoc Experiment reassignment in Pocket Universe Lab Eight."
"hubannouncer_event_throwportal_05"	"Cep Evren Laboratuvarı Sekiz'de deney taşıma projesi devam ediyor."
"[english]hubannouncer_event_throwportal_05"	"Experiment relocation project underway in Pocket Universe Lab Eight."
"hubannouncer_event_throwportal_06"	"Hatırlatırız: Cep Evren Laboratuvarı Sekiz'deki bir deney geçici olarak başka bir yere taşındı."
"[english]hubannouncer_event_throwportal_06"	"Please be advised: An experiment in Pocket Universe Lab Eight has been temporarily relocated."
"hubannouncer_event_throwclipb_01"	"Cep Evren Laboratuvarı Sekiz'e daha fazla pano gerekiyor."
"[english]hubannouncer_event_throwclipb_01"	"More clipboards required in Pocket Universe Lab Eight."
"hubannouncer_event_throwclipb_02"	"Aperture Science Bilgi Ekranı Tahtaları ilişkili deneyler hakkında veri yaymak için verilmiştir. Onları fırlatmak üzerlerindeki yazıları okumayı zorlaştırır."
"[english]hubannouncer_event_throwclipb_02"	"Aperture Science Information Display Boards have been provided to conveniently exhibit data relevant to their corresponding experiments. Throwing them makes it harder to read them."
"hubannouncer_event_throwclipb_03"	"Aperture Science Bilgi Ekranı Tahtaları aşırı hassas bilgi yayan aygıtlardır. Dokunduğun her şey gibi, ayrıca çok pahalılar."
"[english]hubannouncer_event_throwclipb_03"	"Aperture Science Information Display Boards are highly sensitive information-emitting devices. Like everything else you are touching, they are also very expensive."
"hubannouncer_event_rhythm_01"	"Cep Evren Laboratuvarı Sekiz'de ritim algılandı."
"[english]hubannouncer_event_rhythm_01"	"Rhythms detected in Pocket Universe Lab Eight."
"hubannouncer_event_rhythm_02"	"Cep Evren Laboratuvarı Sekiz'de çok iyi ritim algılandı."
"[english]hubannouncer_event_rhythm_02"	"Very good rhythms detected in Pocket Universe Lab Eight."
"hubannouncer_event_rhythm_03"	"Cep Evreni Laboratuvarı Sekiz'de ritmik çekirdek yeniden konumlandırma devam etmekte."
"[english]hubannouncer_event_rhythm_03"	"Rhythmic core relocation underway in Pocket Universe Lab Eight."
"hubannouncer_event_enter_01"	"Şimdi bir deneye giriliyor."
"[english]hubannouncer_event_enter_01"	"Now entering an experiment."
"hubannouncer_event_enter_02"	"Test aktarımı başlatılıyor... şimdi."
"[english]hubannouncer_event_enter_02"	"Starting test-transit... now."
"hubannouncer_event_enter_03"	"Deney başlatılıyor... şimdi."
"[english]hubannouncer_event_enter_03"	"Starting experiment... now."
"hubannouncer_event_enter_04"	"İyi şanslar."
"[english]hubannouncer_event_enter_04"	"Good luck."
"hubannouncer_event_return_01"	"Tekrar hoş geldiniz."
"[english]hubannouncer_event_return_01"	"Welcome back."
"hubannouncer_event_return_02"	"Tekrar hoş geldin test gezgini."
"[english]hubannouncer_event_return_02"	"Welcome back, test traveler."
"hubannouncer_event_return_03"	"Cep Evren Laboratuvarı Sekiz'in Test Gezgini bir deneyden geri döndü."
"[english]hubannouncer_event_return_03"	"Test Traveler of Pocket Universe Lab Eight has returned from an experiment."
"hubannouncer_event_return_04"	"Cep Evren Laboratuvarı Sekiz'in Test Gezgini bir deneyde başarıyla hayatta kaldı."
"[english]hubannouncer_event_return_04"	"Test Traveler of Pocket Universe Lab Eight has successfully survived an experiment."
"hubannouncer_event_return_05"	"Test Gezgini, Cep Evren Laboratuvarı Sekiz'e başarıyla geri dönmüştür. Tebrikler Test Gezgini."
"[english]hubannouncer_event_return_05"	"Test Traveler has successfully returned in Pocket Universe Lab Eight. Congratulations, Test Traveler."
"hubannouncer_event_return_06"	"Cep Evreni Laboratuvarı Sekiz'in Test Gezgini bir heykel açılımından hayatta kaldı."
"[english]hubannouncer_event_return_06"	"Test Traveler has survived a relic expedition in Pocket Universe Lab Eight."
"hubannouncer_event_return_07"	"Cep Evren Laboratuvarı Sekiz'de deney başarılı bir şekilde tamamlandı."
"[english]hubannouncer_event_return_07"	"Successful completion of experiment in Pocket Universe Lab Eight."
"hubannouncer_event_return_08"	"Cep Evren Laboratuvarı Sekiz bir deneyi sonuçlandırdı. Tebrikler Test Gezgini."
"[english]hubannouncer_event_return_08"	"Pocket Universe Lab Eight has concluded an experiment. Congratulations, Test Traveler."
"hubannouncer_event_return_09"	"Her şeye rağmen Cep Evren Laboratuvarı Sekiz'in Test Gezgini hayatta kaldı."
"[english]hubannouncer_event_return_09"	"Against all odds, Test Traveler of Pocket Universe Lab Eight had survived."
"hubannouncer_event_visitedall_01"	"Cep Evren Laboratuvarı Sekiz'in test gezgini tüm deneyleri başarıyla gerçekleştirdi."
"[english]hubannouncer_event_visitedall_01"	"Test traveler has successfully engaged all experiments in Pocket Universe Lab Eight."
"hubannouncer_event_visitedall_02"	"Test gezgini Cep Evren Laboratuvarı Sekiz'deki tüm deneyleri ziyaret etti."
"[english]hubannouncer_event_visitedall_02"	"Test traveler has visited all experiments in Pocket Universe Lab Eight."
"hubannouncer_event_visitedall_03"	"Test gezgini, Cep Evren Laboratuvarı Sekiz'deki tüm deneyleri keşfetti."
"[english]hubannouncer_event_visitedall_03"	"Test traveler has discovered all experiments in Pocket Universe Lab Eight."
"hubannouncer_event_arcade_01"	"Cep Evreni Laboratuvarı Sekiz'de meta oynama tespit edildi."
"[english]hubannouncer_event_arcade_01"	"Meta gameplay detected in Pocket Universe Lab Eight."
"hubannouncer_event_arcade_02"	"Analiz ediliyor. Dördüncü duvar yok edildi. Lütfen bu duvarların çok pahalı olduklarını unutmayın. Bu hasarın maliyeti ödemenizden düşülecektir."
"[english]hubannouncer_event_arcade_02"	"Analyzing. Fourth wall destroyed. Please note that these walls are very expensive. They will be deducted from your pay."
"hubannouncer_event_arcadewin_01"	"İzleyici Çekirdek yenilgiye uğratıldı. Test sonuçları analiz ediliyor: Cep Evren Laboratuvarı Sekiz'in Test Gezgini? kötü birisi."
"[english]hubannouncer_event_arcadewin_01"	"Tracer Core defeated. Analyzing test results: Test Traveller in Pocket Universe Lab Eight? is a bad dude."
"hubannouncer_event_shootbox_01"	"Cep Evren Laboratuvarı Sekiz'de maddi hasar algılandı."
"[english]hubannouncer_event_shootbox_01"	"Property damage detected in Pocket Universe Lab Eight."
"hubannouncer_event_shootbox_02"	"Canlı bebek penguen teslimatına Cep Evren Laboratuvarı Sekiz'de müdahale edildi."
"[english]hubannouncer_event_shootbox_02"	"Live baby penguin delivery interfered with in Pocket Universe Lab Eight."
"hubannouncer_event_shootbox_03"	"Cep Evren Laboratuvarı Sekiz'de iyi nişan algılandı."
"[english]hubannouncer_event_shootbox_03"	"Good aim detected in Pocket Universe Lab Eight."
"hubannouncer_event_shootbox_rare_01"	"Açıkçası, Cep Evren Laboratuvarı Sekiz'de hayran edici nişan algılandı."
"[english]hubannouncer_event_shootbox_rare_01"	"Frankly, amazing aim detected in Pocket Universe Lab Eight."
"hubannouncer_event_shootmen_01"	"Cep Evren Laboratuvarı Sekiz'de işyeri kazası oluştu."
"[english]hubannouncer_event_shootmen_01"	"Workplace accident has occurred in Pocket Universe Lab Eight."
"hubannouncer_event_shootmen_02"	"Dikkat, Cep Evren Laboratuvarı Sekiz: İşyeri güvenliği herkesin sorumluluğudur."
"[english]hubannouncer_event_shootmen_02"	"Attention, Pocket Universe Lab Eight: Workplace safety is everyone's responsibility."
"hubannouncer_event_shootmen_03"	"Uyarı, Cep Evren Laboratuvarı Sekiz: \"Kazasız Geçirilen Dakika\" Sayacı sıfırlandı."
"[english]hubannouncer_event_shootmen_03"	"Attention, Pocket Universe Lab Eight: The \"Minutes Without Accident\" Counter has been reset to zero."
"hubannouncer_event_shootmen_04"	"Uyarı, Cep Evreni Laboratuvarı Sekiz: Lütfen çalışma alanı güvenlik protokolü el kitabınızın Ek B Alt-Ek Beş kısmına bir göz atmak için zorunlu bir ara verin."
"[english]hubannouncer_event_shootmen_04"	"Attention, Pocket Universe Lab Eight: Please take a mandatory moment of reflection to review Appendix B Sub-Section Five of your workplace safety protocol manual."
