"lang"
{
"Language""english"
"Tokens"
{
//Neccessities
"CaptionMod_GameSaved"	"Oyun Kaydedildi..."
"HT03COMPLETE"	"YÜZEY ÇAĞRISI\n\nUydu bağlantısı yapıldı.\n\nGÖREV TAMAMLANDI"
"HT04COMPLETE"	"YANKILAŞIM\n\nBastırma alanı sıfırlaması denendi.\n\nGÖREV TAMAMLANDI"
"HT05COMPLETE"	"İÇ ÇATIŞMA\n\nGüvenlik görevlisi kurtarıldı.\n\nGÖREV TAMAMLANDI"
"HT07COMPLETE"	"YEŞİL KOD\n\nUydu kodu yüklendi.\n\nGÖREV TAMAMLANDI"
"HT10COMPLETE"	"ÇARPRAZ ATEŞ\n\nYer değiştirme işaretçisi yükseltildi.\n\nGÖREV TAMAMLANDI"
"HT11COMPLETE"	"YOĞUNLUK\n\nIşın dizisi devreye sokuldu.\n\nGÖREV TAMAMLANDI"
"HT12COMPLETE"	"YARIK\n\nYankılaşım tersinimi başlatıldı.\n\nGÖREV TAMAMLANDI"
"HT91COMPLETE"	"XEN SALDIRISI\n\nXen billurları geri alındı.\n\nGÖREV TAMAMLANDI"
"HT01TITLE"	"ÇİFTE ERİŞİM"
"HT02TITLE"	"TEHLİKE KURSU"
"HT03TITLE"	"YÜZEY ÇAĞRISI"
"HT04TITLE"	"YANKILAŞIM"
"HT05TITLE"	"İÇ ÇATIŞMA"
"HT07TITLE"	"YEŞİL KOD"
"HT10TITLE"	"ÇARPRAZ ATEŞ"
"HT11TITLE"	"YOĞUNLUK"
"HT12TITLE"	"YARIK"
"HT91TITLE"	"XEN SALDIRISI"

//Scientist Common
"absolutely"	"Kesinlikle."
"absolutelynot"	"Kesinlikle olmaz."
"administrator"	"Böyle bir şey olabileceğinden şüphelenmiştim ama yönetici beni dinlemedi."
"afellowsci"	"Dost bir bilim insanı."
"ahfreeman"	"Ah, Freeman."
"alienappeal"	"Sence uzaylı yetkililere başvurmalı mıyız?"
"alientrick"	"Bu başarısızlığın ardında bir uzaylı entrikası olduğundan şüpheleniyor musun?"
"allnominal"	"Evet, bunların hepsi normal görünüyor."
"alright"	"Pekâlâ."
"analysis"	"Bu çözümlemeyi dört gözle bekliyorum, ya sen?"
"announcer"	"En son yapılan duyuruyu anladın mı?"
"areyouthink"	"Benim düşündüğümü mü düşünüyorsun?"
"asexpected"	"Tıpkı beklediğim gibi."
"beenaburden"	"Sana o kadar mı yük oldum?"
"beverage"	"O meşrubat makinesini çalıştırmayı başarabildin mi henüz?"
"bloodsample"	"Bu kan örneklerinden birini mikroskop altına yatırmak istemez miydin?"
"cantbeserious"	"Ciddi olamazsın."
"cantbeworse"	"Bundan daha kötüsü olamaz."
"canttakemore"	"Daha fazla kaldıramam bunu."
"cascade"	"Daha önce tartıştığımız yankılaşım çağlayanı senaryosundan az da olsa endişelenmiyor musun?"
"catchone"	"Bir örnek yakalamasak mı?"
"chaostheory"	"Hâlâ kaos teorisini ciddiye almadığını mı söylüyorsun?"
"checkatten"	"Eigen zayıflatıcılarını denetlediğine emin misin?"
"completelywrong"	"Tamamen hatalısın."
"containfail"	"Anlaşılan çevreleme sistemi tamamen çökmüş."
"correcttheory"	"Kendi kuramının yüzde yüz doğru olduğuna emin misin?"
"delayagain"	"Sence yeniden ölçülemek amacıyla ertelemeli miyiz?"
"didyouhear"	"Bunu duydun mu?"
"dinner"	"Gerçekten buradaki tüm yaratıkların bizi yemek için burada olduğunu mu iddia ediyorsun?"
"dontconcur"	"Katılmıyorum."
"dontgothere"	"Hayır, o tarafa gitme!"
"dontknow"	"Gerçekten bilmiyorum."
"dontwantdie"	"Hayır, ölmek istemiyorum!"
"donuteater"	"Bütün o çörekleri kim yedi biliyor musun?"
"doyousmell"	"Benim aldığım kokuyu sen de alıyor musun?"
"evergetout"	"Buradan çıkabilecek miyiz acaba?"
"everseen"	"Hiç böyle bir şey gördün mü?"
"excellentteam"	"Benim zekam ve senin kas kütlenle muhteşem bir takım olacağız."
"excuse"	"İzninle, Gordon."
"fascinating"	"Bu olanların hepsini büyüleyici bulmuyor musun?"
"fellowscientist"	"Bir bilim insanı arkadaşıma eşlik etmekten hoşnut olurum."
"fine"	"Peki. Burada olduğumu anlamayacaksın bile."
"freeman"	"Freeman."
"freemanalive"	"Freeman! Hâlâ hayatta olacağın kimin aklına gelirdi?"
"fusionshunt"	"Umarım yedek füzyon şantları bugün iyi durumdadır."
"getoutalive"	"Sadece bu durumdan sağ şekilde çıkmak istiyorum."
"getoutofhere"	"Buradan çıkmalıyım!"
"goodpaper"	"Bu olan bitenden dikkate değer bir makale çıkar diyorum, ya sen?"
"goodtoseeyou"	"Ah, seni görmek çok güzel."
"gottogetout"	"Buradan çıkmam gerekiyor!"
"greetings"	"Merhabalar!"
"greetings2"	"Merhabalar."
"headcrab"	"Bu yengecimsi yaratıkların özgün bir asalaklık yöntemi var, sence de öyle değil mi?"
"heal1"	"İzninle şu yaranla ilgileneyim."
"heal2"	"Bu kendini daha iyi hissetmeni sağlayacaktır."
"heal3"	"O yarayı tedavi etmeme izin ver."
"heal4"	"Acının geçmesi için bir şey verebilirim sana."
"heal5"	"Endişe etme, ben doktorum."
"hearsomething"	"Bir şey duydun mu?"
"hello"	"Merhaba."
"hello2"	"Merhaba."
"hellofreeman"	"Merhaba, Gordon Freeman. Seni görmek güzel."
"hellofromlab"	"Olağanüstü Maddeler laboratuvarındansın, değil mi? Evet. Seni tanıyorum."
"hellothere"	"Merhabalar."
"hideglasses"	"Birisi yine gözlüğümü saklamış."
"holdstill"	"Sabit dur, hiç acımayacak."
"hopenominal"	"Umarım o çevreleme değişkenleri hâlâ normal değerlerdedir."
"hopeyouknow"	"Umuyorum ki ne yaptığını biliyorsundur."
"howinteresting"	"Ne kadar ilgi çekici, baksana şuna."
"hungryyet"	"Başka acıkan var mı?"
"ibelieveso"	"Öyle sanıyorum."
"idontthinkso"	"Sanmıyorum."
"ihearsomething"	"Bir şey duydum."
"illwait"	"Bekleyeceğim."
"illwaithere"	"Burada bekleyeceğim."
"importantspecies"	"Bir başka önemli canlı türü daha canlı kanlı ortaya çıktı."
"improbable"	"Bu büyüklükte bir başarısızlık son derece olasılık dışı bir şey."
"imsure"	"Eminim."
"inconclusive"	"Kesin bir sonuca varılamıyor."
"inmesstoo"	"Ah! Freeman. Görüyorum ki sen de bu fiyaskonun arasında kalmışsın."
"ipredictedthis"	"Bunların hepsini tahmin etmiştim, biliyor musun. Hepsini!"
"istay"	"Burada kalacağım."
"iwounded"	"Yaralandım ancak devam edebilirim."
"iwounded2"	"Eh, görünüşe bakılırsa ciddi şekilde yaralandım."
"iwoundedbad"	"Daha fazla dayanabileceğimi sanmıyorum."
"justasked"	"Onu az önce sormadın mı zaten?"
"lambdalab"	"Lambda laboratuvarındaki o insanların bunu denetim altına alabileceğini umuyorum."
"leadtheway"	"Önden buyur."
"leavingme"	"Ne? Beni burada mı bırakıyorsun?"
"letmehelp"	"Sana yardımcı olayım."
"letsgo"	"Gidelim."
"letstrythis"	"Şunu deneyelim."
"letyouin"	"Biraz bekle, seni içeri alayım."
"limitsok"	"Bunların hepsi kuramsal sınırların içinde."
"lowervoice"	"Lütfen sesini biraz alçalt."
"luckwillchange"	"Büyük olasılıkla şansımız değişir, sen de öyle düşünmüyor musun?"
"madness"	"Bu çılgınlık! Ben gidiyorum!"
"needsleep"	"Birkaç saatlik uyku için beynimin sağ tarafını verebilirim."
"neverseen"	"Büyüleyici! Böyle şeylerin olabileceğini hiç düşünmemiştim!"
"newhevsuit"	"Ah! Sende yeni HEV giysilerinden var. Çok kullanışlı olmalı."
"newsample"	"O yeni örneğin kaynağı ile ilgili bir fikrin var mı?"
"nodoubt"	"Hiç şüphem yok."
"nogrant"	"Eh, bağış paramız da uçtu gitti."
"noguess"	"Tahmin bile edemiyorum."
"noidea"	"Neler olup bitiyor hiçbir fikrin yok, değil mi?"
"noo"	"Hayır."
"nooo"	"Hayır!"
"noplease"	"Hayır! Lütfen!"
"notcertain"	"Emin değilim."
"nothostile"	"Uzaylı türlerinin hepsi saldırgan olamaz herhalde, değil mi?"
"notsure"	"Hiç mi hiç emin değilim."
"odorfromyou"	"Umuyorum ki o koku senden gelmiyordur."
"ofcourse"	"Elbette!"
"ofcoursenot"	"Elbette hayır!"
"okgetout"	"Tamam, çıkalım buradan."
"okihope"	"Peki, umarım ne yaptığını biliyorsundur."
"organicmatter"	"Eh, boyutsal yarık kesinlikle organik madde iletiyor."
"peculiarmarks"	"Şu acayip işaretlere bir bak."
"peculiarodor"	"Hım, ne kadar acayip bir koku."
"perfectday"	"Bu çözümleme bugün harika bir şekilde gerçekleşecek, sence de öyle değil mi?"
"perhaps"	"Belki de."
"positively"	"Mutlaka."
"purereadings"	"Bir kereliğine de olsa saf değerler alsak muhteşem olmaz mıydı?"
"recalculate"	"Sence de o yankılaşım bastırma etmenlerini tekrardan denetlememiz gerekmez mi?"
"reconsider"	"Tekrar düşünsen diyorum?"
"repeat"	"Biliyor musun, bazen kendini tekrar ediyorsun."
"reportflux"	"O dalgalanmayı rapor etmeyi unutmamalıyım."
"rescueus"	"Elbette birileri gelip bizi kurtaracaktır."
"ridiculous"	"Saçmalama!"
"right"	"Tabi!"
"rightwayout"	"Buranın doğru yol olduğuna emin misin?"
"rumorclean"	"Ordu temizliği sadece paranoyak bir söylenti, öyle değil mi?"
"runtest"	"Acaba o deneyi tekrar mı yapsam?"
"sci_aftertest"	"Deney bitene kadar beklemek zorundasın."
"sci_alone"	"Lütfen, deney bitene kadar beni rahat bırak."
"sci_bother"	"Şu an meşgulüm."
"sci_busy"	"Kusura bakma Gordon ama şu an biraz işim var."
"sci_fear6"	"Hayır, olamaz!"
"sci_fear7"	"Amanın!"
"sci_fear11"	"Amanın!"
"sci_fear12"	"Tanrım!"
"sci_fear13"	"Hayır!"
"sci_fear14"	"Geri çekil!"
"sci_pain3"	"Hayır!"
"sci_pain6"	"Hayır!"
"sci_pain7"	"Hayır!"
"sci_pain8"	"Hayır!"
"sci_pain9"	"Dur!"
"sci_pain10"	"Hayır!"
"sci_somewhere"	"Senin yarım saat önce deney odasında olman gerekmiyor muydu?"
"scream10"	"Hayır!"
"scream11"	"Dur!"
"scream12"	"Dur!"
"scream13"	"Hayır!"
"seencup"	"Kahve bardağımı gördün mü?"
"shakeunification"	"Bu büyük birleştirme teorisi tayfasını biraz sarsmalı, değil mi?"
"shutdownchart"	"Haydi, nerede bıraktım ben şimdi o kapatma işlem çizelgesini?"
"shutup"	"Kapat çeneni."
"shutup2"	"Kapat çeneni."
"simulation"	"Bildiğin gibi, benzetim sonuçları gayet kabul edilebilir düzeyde."
"slowingyou"	"Seni yavaşlatıyorum, öyle mi?"
"smellburn"	"Yanık kokusu alıyor musun?"
"softethics"	"Yine o ahlaki mi değil mi konusuna takılmayacaksın, değil mi?"
"sorryimleaving"	"Üzgünüm, gidiyorum ben."
"somethingfoul"	"Sanıyorum burada fena bir koku var."
"startle5"	"Olamaz."
"startle6"	"Olamaz."
"startle7"	"Olamaz."
"startle8"	"Olamaz."
"startle9"	"Olamaz."
"statusreport"	"Bugün durum raporunu yöneticiye verdin mi?"
"stench"	"O koku da ne?"
"stimulating"	"Şey, ben bu olanların ilham verici olduğunu düşünüyorum, sen?"
"stop1"	"En fazla bu kadar gidebilirim."
"stop2"	"Bir adım daha atmayı reddediyorum."
"stop3"	"Beni burada bırakman gerekecek, Gordon."
"stop4"	"Burada kalıp meslektaşlarımı bekleyeceğim."
"stopasking"	"Aynı soruyu sormayı kes artık."
"stopattacking"	"Saldırmayı kes, o bir dost!"
"survival"	"O acil durumda hayatta kalma prosedürlerinden herhangi birini hatırlıyor musun?"
"thatsodd"	"Bu garip."
"theoretically"	"Teorik olarak."
"thiswillhelp"	"Bunun faydası dokunur."
"tunedtoday"	"Bütün o yerleştirme kipleyiciler bugün ayarlandı, değil mi?"
"tunnelcalc"	"Yine o tünelin örgülü hesaplamalarını mı yapıyorsun?"
"uselessphd"	"O doktora şu an çok işime yarıyor, değil mi?"
"weartie"	"Niye hepimiz bu rezalet kravatları takmak zorundayız ki?"
"whatnext"	"Eh, bundan sonra ne yapacağız bir fikrin var mı?"
"whatyoudoing"	"Tanrım, ne yapıyorsun sen?"
"whocansay"	"Kim bilir?"
"whoresponsible"	"Bu kargaşanın sorumlusu kim?"
"whyaskme"	"Niye bana soruyorsun?"
"whyleave"	"Beni neden burada bırakıyorsun?"
"yees"	"Evet."
"yes"	"Evet."
"yes2"	"Evet."
"yes3"	"Evet."
"yesletsgo"	"Evet, gidelim."
"youinsane"	"Çıldırdın mı sen? Ona saldırmayı kes, hemen!"
"youlookbad"	"Berbat görünüyorsun."
"youlookbad2"	"Berbat görünüyorsun."
"youneedmedic"	"Görünüşe bakılırsa derhal tıbbi müdahaleye ihtiyacın var."
"youwounded"	"Ah, yaralanmışsın."

//HECU Common
"HG_GREN0"	"El bombası!"
"HG_GREN1"	"Sipere geçin!"
"HG_GREN2"	"Kahretsin!"
"HG_GREN3"	"Yere yatın!"
"HG_GREN4"	"Tanrım!"
"HG_GREN5"	"Hayır!"
"HG_GREN6"	"Yürüyün!"
"HG_ALERT0"	"İki düşmanımız var!" //changed
"HG_ALERT1"	"Hedef!"
"HG_ALERT2"	"Hareket var!"
"HG_ALERT3"	"Kahretsin! Düşman var!"
"HG_ALERT4"	"Ekip, saldırın!" //changed
"HG_ALERT5"	"Ekip, şu ikisini halledin!" //changed
"HG_ALERT6"	"Yürüyün!"
"HG_MONST0"	"Bölgemde yaratık var!"
"HG_MONST1"	"Yaratık var!"
"HG_MONST2"	"Uzaylı alarmı!"
"HG_MONST3"	"Uzaylı hareketi!"
"HG_COVER0"	"Siper alın!"
"HG_COVER1"	"Baskı ateşine ihtiyacım var!"
"HG_COVER2"	"Desteğe ihtiyacımız var!"
"HG_COVER3"	"Burası çok kalabalık!"
"HG_COVER4"	"Saklanın!"
"HG_COVER5"	"Bu bölgeyi temizleyin!"
"HG_COVER6"	"Kahretsin!"
"HG_COVER7"	"Koruma ateşi!"
"HG_THROW0"	"Bomba atıyorum!"
"HG_THROW1"	"Al bakalım!"
"HG_THROW2"	"Bomba atıyorum!"
"HG_THROW3"	"Ekip, eğilin!"
"HG_TAUNT0"	"Ah, burada ağır ateş altındayız."
"HG_TAUNT1"	"Anlaşıldı, konumunuzu koruyun."
"HG_TAUNT2"	"Kıçını tekmeleyeceğiz!"
"HG_TAUNT3"	"Bayım, mezarı boyluyorsunuz."
"HG_TAUNT4"	"Elinde hiçbir koz yok!"
"HG_TAUNT5"	"Yardım lazım!"
"HG_CHARGE0"	"Keşfe çıkın!"
"HG_CHARGE1"	"Yürüyün!"
"HG_CHARGE2"	"Hadi!"
"HG_CHARGE3"	"Gidelim!"
"HG_QUEST0"	"Dikkatli olun, millet."
"HG_QUEST1"	"Telsiz yanıt ver, tamam."
"HG_QUEST2"	"Gözetlemeyi sürdürün."
"HG_QUEST3"	"Ekip, sessiz ol."
"HG_QUEST4"	"Konumunuzu koruyun."
"HG_QUEST5"	"O bölgeyi temizleyin."
"HG_QUEST6"	"Ah, düşman temizleme dizilimine geçin."
"HG_QUEST7"	"Görev devam ediyor."
"HG_QUEST8"	"Atış ekibi, silah denetimi tamam."
"HG_QUEST9"	"Atış ekibi, göreviniz f-dokuz."
"HG_QUEST10"	"Pekâlâ görev, sıfır dokuz."
"HG_QUEST11"	"Ekip, gözlerinizi dört açın, tamam." //changed
"HG_ANSWER0"	"Anlaşıldı."
"HG_ANSWER1"	"Emredersiniz komutanım."
"HG_ANSWER2"	"Olumlu, efendim."
"HG_ANSWER3"	"Olumsuz."
"HG_ANSWER4"	"Tamam."
"HG_ANSWER5"	"Tamam, merkez."
"HG_ANSWER6"	"Evet, olumlu."
"HG_CLEAR0"	"Her yer temiz, efendim."
"HG_CLEAR1"	"Bravo görev yeri, temiz."
"HG_CLEAR2"	"Delta ekibi, temiz."
"HG_CLEAR3"	"Düşman izi yok efendim, tamam."
"HG_CLEAR4"	"Hedeften iz yok efendim, tamam."
"HG_CLEAR5"	"Bu seviyede hareket yok."
"HG_CLEAR6"	"Efendim, bölge güvenli, tamam."
"HG_CLEAR7"	"Komuta bölgesi, ekip konumda, tamam."
"HG_CLEAR8"	"Keşif konumda, sessiz."
"HG_CLEAR9"	"Gözetim bölgesi, her yer sessiz, tamam."
"HG_CLEAR10"	"Efendim, bir şey duydum."
"HG_CLEAR11"	"Efendim, sıfır hareket, tamam."
"HG_CLEAR12"	"Bölge güvenli efendim, tamam."
"HG_CHECK0"	"Pekâlâ, denetleyin."
"HG_CHECK1"	"Ekip, düşmanlar temizlendi mi?"
"HG_CHECK2"	"Rapor verin millet."
"HG_CHECK3"	"Gözlem, rapor ver."
"HG_CHECK4"	"Araştırma ekibi, rapor verin."
"HG_CHECK5"	"Hareket denetimi, tamam."
"HG_CHECK6"	"Bölgenizi denetleyin, tamam."
"HG_CHECK7"	"Orada her şey yolunda."
"gr_pain1"	"Elinden gelenin en iyisi bu mu?"
"gr_pain2"	"Elinde hiç koz yok!"
"gr_pain3"	"Vuruldum!"
"gr_pain4"	"Uh, oh!"
"gr_pain5"	"Ah, sıhhıye!"

//Rosenberg
"ro_01_admin"	"Yönetici bir bürokrat, bir bilim insanı değil. Bu donanımı bu kadar yüksek yoğunlukta çalıştırılması için tasarlamadım."
"ro_01_alive"	"Keller? Keller, yaşıyor musun? Tolman öldü."
"ro_01_assure"	"Sizi temin ederim, değil, Dr. Keller. Ben... ne?!"
"ro_01_callhelp"	"Şey, herkesi buradan çıkarmalıyız. Yüzeye ulaşıp yardım falan çağırmamız gerek!"
"ro_01_chargers"	"Birincil yükleyicileri halledeyim."
"ro_01_dampen"	"Anlamıyorum. Bastırma alanları…"
"ro_01_danger"	"Bu çok tehlikeli. Başarısız olursak, geri kalanları kim uyaracak? Askerler iki saat içerisinde burada olabilir ve tesisi güvence altına alıp herkesi güvenli bir yere götürebilir. Endişemiz, Black Mesa'da bulunan insanlar olmalı."
"ro_01_fields"	"Bastırma alanları başarısız olmamaları için tasarlandı. Bunun yaşanmasının tek yolu birisinin onları kapatmış olması ve öyle olsa bile kaydırma akış göstergelerinde gözle görülür bir farklılık olması gerekirdi."
"ro_01_grudge"	"Bana karşı kininiz ne olursa olsun..."
"ro_01_keller"	"Dr. Keller."
"ro_01_leaving"	"Seni burada bırakma fikri hoşuma gitmiyor ama anlaşılan başka seçeneğimiz yok."
"ro_01_letsgo"	"Pekâlâ. Gidelim."
"ro_01_realize"	"Elbette tayfölçerin aşırı yükleneceğinin farkındasınızdır."
"ro_01_spectrom"	"Harold'la konuşuyordum. Anti-kütle tayfölçeri yüzde doksan oranından daha yüksek bir oranda çalıştıracağınızı planladığınız izlemine kapılmış. Güvenlik bölgesinin olmasının bir sebebi olduğunu anlıyorsunuzdur."
"ro_01_survived"	"Oh, Tanrı'ya şükürler olsun kurtulmuşsunuz. Üzerinizdeki HEV giysiler oldukça iyi tasarlanmış, Dr. Cross."
"ro_01_touch"	"Hayır, ona dokunma!"
"ro_01_yesright"	"Evet, haklısın."
"ro_02_careful"	"Dikkatli olun. O bekçi silahları devrede olduğu sürece, oraya gitmek intihar olacaktır. Ancak yüzeye giden tek yol orası. Onları yok etmeniz gerekecek."
"ro_02_despite"	"Dr. Keller'ın düşüncesinin aksine, tek endişemiz Black Mesa'da sıkışıp kalanlar için olmalı. Uydu iletişimi donanımına ulaşabilmek için yüzeye çıkmamız lazım. Neler olduğunu anladıklarında, derhal bizi kurtarması için orduyu yollayacaklardır diye düşünüyorum. Yakınlarda bir yerlerde bizi gitmemiz gereken yere götürecek bir asansör var. Beni takip edin."
"ro_02_elevator"	"Kahretsin, görünüşe göre asansör denetimleri çalışmıyor. Hemen altımızda bir bakım alanı var. Sanırım oradan asansörü çalışır hale getirebilirsiniz. Bakım alanına varmak için tehlike kursundan geçmeniz gerekecek. Tehlike giysinizin sizi koruyacağını söylememe gerek yok biliyorum ama sanırım ben burada beklesem daha güvenli olacak."
"ro_02_follow"	"Tamam, sizi takip edeceğim."
"ro_02_madeit"	"Başardık! Şimdi, bu tünelin sonunda direk olarak yüzeye çıkan bir giriş bacası var. Oradan uydu iletişimi merkezine varıp yardım çağırabiliriz. Güzel iş çıkardınız, siz olmasanız buraya kadar gelemezdim. Gidelim haydi."
"ro_02_moving"	"Hareket ediyor! Tanrıya şükür başardın! Senden vazgeçmeye başlamıştım. Asansörü en üst kata çıkar."
"ro_02_opendoor"	"Hım, bu kapıyı açabilirim herhalde."
"ro_02_thanks"	"Teşekkür ederim! O asansörden canlı çıkamayacağımdan endişe etmeye başlamıştım."
"ro_02_waithere"	"Burası güvenli olduğu için burada bekleyeceğim. Bu asansörün bakım boşluğuna girmenin bir yolunu bulup elle yükseltmeniz gerek."
"ro_03_aligned"	"Buradan orduyla bağlantı kurabileceğiz. Bu aletlerin görünüşüne bakılırsa uydu çanağı düzgün bir şekilde hizalanmış. İyi iş çıkardınız. Şimdi düğmeye basın ve uydu bağlantısını tamamlayın."
"ro_03_excellent"	"Mükemmel! Şimdi çalışan bir uydu bağlantımız olmalı. Deneyeyim."
"ro_03_inside"	"İçerisi uydu çanağı denetim odası ama kapısı kilitli. O depoya giden bir yol bulabilirseniz, diğer tarafa yolunuzu bulur ve beni içeri alabilirsiniz. Ben burada bekleyeceğim. Yol benim için çok tehlikeli ancak siz tehlike giysiniz ile güvende olacaksınız."
"ro_03_keller"	"Dr. Keller? Dr. Keller? Beni duyabiliyor musun? Yer-uydu bağını tamamladık ve acil durum sinyalini gönderiyoruz."
"ro_03_madeit"	"Ah, başardınız! Denetim odası merdivenlerden çıkınca hemen. Acele edin, benimle gelin."
"ro_03_makeway"	"Depodan geçmeniz gerekiyor. Ben bekleyeceğim ama lütfen, acele edin."
"ro_03_notalign"	"Buradan ordu ile iletişime geçebileceğiz ancak anlaşılan uydu çanağı hizalanmamış. Birinizin oraya gidip çanağı döndürmesi gerekli. Bu odadaki aygıtlar çanak doğru konumlandırıldığında bize haber verecek."
"ro_03_notalign2"	"Çanak hizalanana kadar bu ekipmanla hiçbir şey yapamayız."
"ro_03_perfect"	"İşte bu kadar. Güzel. Mükemmel."
"ro_03_rotated"	"Güzel, çanak dönüyor. Göstergelerimiz hizalı olduğunu gösterdiğinde, uydu bağlantısını tamamlamak için düğmeye bas."
"ro_03_senddown"	"Anlıyorum. Göndereceğim onları. Tamam."
"ro_03_surface"	"Artık yüzeye vardığımıza göre, yardım çağırabiliriz. Yeterince hızlı olursak, aşağıdakilerin bir şansı olabilir. Bu çitin arkasında Black Mesa'nın dışındaki askeri çalışanlar ile iletişime geçmekte kullanabileceğimiz uydu iletişimi merkezi var. Tesisin güvenliğini sağlamakta en yüksek olasılık onlarda ve bizi de güvenli bölgeye götürebileceklerdir. Gidelim."
"ro_03_toofar"	"Dur. Çok gittin. Geri git, geride kaldı."
"ro_03_waithere"	"Dinleyin, ordunun gelmesini burada bekleyebilirim ben ama sizin aşağıdaki duruma yardım etmeniz gerekiyor yoksa diğerlerinin durumu tehlikeye girer. Buradaki işinizi tamamladınız, şimdi aşağı gidin ve Dr. Keller'a ulaşın. Dikkat edin, ikiniz de. Umarım sizinle dışarıda görüşürüz."
"ro_calhoun"	"Calhoun?"
"ro_calhoun2"	"Calhoun? Bir dakika, sen Calhoun değilsin."
"ro_cure0"	"Berbat görünüyorsun!"
"ro_cure1"	"Yaralı gibi görünüyorsun."
"ro_cure2"	"Hemen tıbbi yardıma ihtiyacın olacak."
"ro_heal0"	"O yarayla senin için ilgileneyim."
"ro_heal1"	"Bu seni daha iyi hissettirecek."
"ro_heal2"	"Tıbbi yardıma ihtiyacın var. Al."
"ro_heal3"	"Acın için sana bir şey vereyim."
"ro_heal4"	"Bu yarayı tedavi etmeme izin ver."
"ro_mortal0"	"Daha ne kadar dayanabileceğimden emin değilim."
"ro_mortal1"	"Daha fazla dayanabileceğimi sanmıyorum."
"ro_ok0"	"Yola koyulalım."
"ro_ok1"	"Hemen arkanda olacağım."
"ro_ok2"	"Acele edelim! Kaybedecek zaman yok."
"ro_ok3"	"Evet, gidelim."
"ro_ok4"	"Pekâlâ, birbirimize destek olalım."
"ro_ok5"	"Pekâlâ, burada olduğumu fark etmeyeceksin bile."
"ro_ok6"	"Evet, beraber kalırsak şansımız daha da artar."
"ro_ok7"	"Gidelim."
"ro_plfear0"	"Ne yapıyorsun?"
"ro_plfear1"	"Buna daha fazla dayanamıyorum!"
"ro_plfear2"	"Bu delilik!"
"ro_plfear3"	"Hayır, lütfen! Ölmek istemiyorum!"
